Gene
AKAIN1
TLCD4-RWDD3
SERTM2
TBXT
GJE1
RFLNB
TLCD3A
ZNF664-RFLNA
NRDC
ZNG1C
GGTLC3
H2AC15
METTL25B
VSIG10L2
DMAC2L
SPDYE11
ERV3-1-ZNF117
TAFA4
MACO1
CFAP210
H4C8
NPIPB13
FAM234A
CFAP157
MINDY2
H3-3B
DISP3
PRAMEF27
TEX13C
EFL1
VIRMA
CENPS-CORT
DNAI4
MARCHF10
MACIR
ATP5F1A
SCAND3
BUB1B-PAK6
NSD2
SLURP2
DEFB130A
NHERF2
PERCC1
RADX
COQ8A
LRRC53
QTRT2
PLPP1
CFAP300
H2BC7
BRD3OS
MARCHF5
H2AC7
NBPF26
RAB5IF
PEDS1
LDAF1
CSKMT
BMAL1
RTF2
H2BC10
NCBP2L
PGAP6
SKIC8
MFSD14B
SELENOM
H4C13
ANGPTL8
ATP5PB
QARS1
ATP5MF-PTCD1
EEF1AKMT1
H2AB2
GK3
ELP1
ODAD2
MRTFA
MARF1
GALNT17
NPIPB2
RBIS
CIAO3
BORCS6
PLPPR3
STIMATE-MUSTN1
FNDC10
ALKAL1
TRIR
OOSP4B
PNMA6F
MIGA1
PLAAT1
ATP5MGL
MELTF
OR6J1
MMUT
THAP12
SMIM26
H3C15
WASHC3
TMEM269
H1-2
CCDC196
PNMA6E
H4C15
BABAM2
BICRAL
TBC1D3D
DYNLT4
OR14K1
NAXE
H4C16
TEDC2
TMEM250
BPNT2
LHFPL7
CSNKA2IP
NCBP2AS2
CPLANE1
H1-8
PWWP3B
VPS35L
H3C8
MARCHF9
PLPP5
H2AC16
TLE5
MICOS10
ZNG1F
TEX49
DIPK2B
CDIN1
TPTEP2-CSNK1E
SPOUT1
GOLGA6L24
POLR1F
COP1
EEIG2
CAVIN3
MS4A4E
DENND11
DYNC2I2
FAM166C
SPRING1
WASHC4
TEX13D
CHCT1
GOLGA6L26
EOLA2
PLAAT3
C3orf85
PCNX2
STING1
MTRES1
