,Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
1,DDX11L1,12,32,54,10,34,27,9,12,25,36
2,WASH7P,360,537,431,1306,1739,1798,2056,1967,1919,1637
3,MIR6859-3,0,0,0,0,0,0,0,0,0,0
4,MIR6859-2,0,0,0,0,0,0,0,0,0,0
5,MIR6859-1,0,0,0,0,0,0,0,0,0,0
6,MIR6859-4,0,0,0,0,0,0,0,0,0,0
7,MIR1302-2,0,0,0,0,0,0,0,0,0,0
8,MIR1302-11,0,0,0,0,0,0,0,0,0,0
9,MIR1302-9,0,0,0,0,0,0,0,0,0,0
10,MIR1302-10,0,0,0,0,0,0,0,0,0,0
11,FAM138A,0,0,0,0,0,0,0,0,0,0
12,FAM138C,0,0,0,0,0,0,0,0,0,0
13,FAM138F,0,0,0,0,0,0,0,0,0,0
14,OR4F5,1,0,0,0,0,0,1,0,0,0
15,LOC729737,4287,4037,1910,69650,47088,57256,51289,55637,56108,45570
16,FAM138D,0,0,0,0,0,0,0,0,0,0
17,OR4F29,0,0,0,0,0,0,0,0,0,0
18,OR4F3,0,0,0,0,0,0,0,0,0,0
19,OR4F16,0,0,0,0,0,0,0,0,0,0
20,LOC100132287,0,0,0,0,0,0,0,0,0,0
21,LOC100132062,0,0,0,0,0,0,0,0,0,0
22,LOC101928626,0,0,0,0,0,0,0,0,0,0
23,MIR6723,4,4,9,17,8,12,7,9,17,11
24,LOC100133331,1970,3005,712,39815,26532,28744,30141,25502,29824,23681
25,LOC100288069,480,339,244,5505,3474,3525,3484,3482,616,2232
26,FAM87B,9,0,10,9,5,12,10,9,5,6
27,LINC00115,94,55,75,41,45,41,47,41,26,39
28,LINC01128,25,3,7,25,45,33,26,22,26,42
29,FAM41C,320,654,137,819,486,459,414,310,801,327
30,LOC100130417,0,0,0,0,0,0,0,0,0,0
31,SAMD11,0,0,0,0,0,0,0,0,0,0
32,NOC2L,45,90,35,110,156,194,108,146,74,263
33,KLHL17,82,3,26,88,92,105,72,103,70,173
34,PLEKHN1,0,0,0,2,1,2,2,0,0,1
35,PERM1,0,0,0,1,0,1,0,0,0,0
36,HES4,41,12,75,116,158,101,294,106,286,201
37,ISG15,99865,15430,51112,3271,1437,885,2443,981,2018,1127
38,AGRN,91,3,12,255,105,66,144,48,57,144
39,RNF223,0,0,0,0,0,0,0,0,0,0
40,C1orf159,42,0,29,51,73,80,54,82,69,172
41,LINC01342,0,0,0,0,0,0,0,0,0,0
42,MIR200B,0,0,0,0,0,0,0,0,0,0
43,MIR200A,0,0,0,0,0,0,0,0,0,0
44,MIR429,0,0,0,0,2,0,0,0,0,0
45,TTLL10,0,0,0,1,0,0,0,0,0,0
46,TNFRSF18,6,0,0,4,2,0,0,1,4,9
47,TNFRSF4,16,0,2,24,33,15,20,15,30,49
48,SDF4,480,1066,894,2022,2346,3395,2806,3503,3103,3915
49,B3GALT6,32,1,8,79,124,152,130,118,149,201
50,FAM132A,27,44,16,51,62,44,36,48,60,65
51,UBE2J2,1274,1758,1498,1527,1642,2170,2075,1843,2262,2435
52,SCNN1D,5,0,10,6,12,16,8,9,9,21
53,ACAP3,132,110,119,817,872,1113,745,984,862,1130
54,MIR6726,0,0,0,0,0,0,0,0,0,0
55,PUSL1,109,299,78,136,131,193,132,137,162,238
56,CPSF3L,593,786,540,1025,1094,1538,1202,1308,1183,1570
57,MIR6727,0,0,0,0,0,0,0,0,0,0
58,CPTP,49,163,43,301,396,626,638,527,718,763
59,TAS1R3,0,1,0,15,21,25,48,18,26,40
60,DVL1,45,107,21,277,291,437,325,304,310,500
61,MIR6808,0,0,0,0,0,0,0,0,0,0
62,MXRA8,0,0,0,8,3,12,1,3,0,5
63,AURKAIP1,1603,2870,1498,1815,1925,2923,2535,2386,3468,2551
64,CCNL2,3421,2316,3127,2886,3568,3194,2329,3232,2852,3587
65,LOC148413,175,277,215,140,223,226,230,198,205,269
66,MRPL20,513,811,554,164,249,300,280,218,318,342
67,ANKRD65,0,1,0,0,0,1,0,0,0,1
68,TMEM88B,0,0,0,0,0,0,0,0,0,0
69,LOC102724312,0,0,0,0,0,0,0,0,0,0
70,VWA1,0,0,0,0,0,0,0,0,0,1
71,ATAD3C,2,6,17,3,6,8,4,3,9,21
72,ATAD3B,48,0,102,47,106,88,37,71,77,117
73,ATAD3A,1,0,5,23,48,52,36,29,24,76
74,TMEM240,0,0,1,11,9,13,17,8,11,9
75,SSU72,3704,4056,3956,2238,3022,3325,3089,2996,4336,3420
76,C1orf233,5,0,11,28,38,72,64,39,64,140
77,MIB2,126,119,109,1182,1242,1723,1225,1339,1633,1882
78,MMP23B,0,0,0,2,2,3,1,1,0,3
79,MMP23A,0,3,2,10,11,6,2,5,9,3
80,CDK11B,1093,1149,897,4466,4164,4663,4991,4373,4948,5869
81,SLC35E2B,581,839,338,3593,2551,2696,3894,2962,1544,4322
82,CDK11A,1179,1395,815,3183,3756,3781,3673,3666,4289,4284
83,SLC35E2,683,836,226,888,1530,3235,1005,1686,2108,1192
84,NADK,20385,20948,15076,48197,45720,49819,50757,52565,52917,46570
85,GNB1,4604,4824,3321,15145,17760,23115,21498,21693,20827,24805
86,CALML6,0,0,0,0,0,0,0,1,0,0
87,TMEM52,0,0,0,0,1,0,1,1,4,0
88,CFAP74,0,0,0,0,0,0,0,0,0,0
89,GABRD,0,0,0,0,1,0,0,0,0,0
90,PRKCZ,206,331,404,370,545,589,644,699,570,697
91,FAAP20,188,444,320,448,446,611,717,590,948,730
92,SKI,129,129,51,5188,3637,6082,5306,5812,4487,5630
93,MORN1,67,23,31,46,28,47,38,37,23,63
94,LOC100129534,5,0,0,11,21,17,19,16,9,17
95,RER1,3262,3419,3964,2611,3010,3466,3038,3109,3985,3228
96,PEX10,2,4,30,24,26,35,34,31,22,69
97,PLCH2,0,1,0,13,19,19,24,11,9,20
98,PANK4,558,769,707,644,553,910,712,798,710,915
99,HES5,0,0,0,0,0,0,0,0,0,0
100,LOC115110,133,235,193,366,507,435,503,491,412,596
101,TNFRSF14,4740,7021,3453,6320,7116,7148,5322,6667,8631,7441
102,LOC100996583,21,23,31,35,60,31,38,31,26,49
103,FAM213B,39,18,49,182,241,310,230,189,232,362
104,MMEL1,0,0,0,7,8,13,7,12,5,8
105,TTC34,0,0,0,0,0,0,1,0,0,0
106,ACTRT2,0,0,0,0,0,0,0,0,0,0
107,LINC00982,0,0,0,0,0,0,0,0,0,0
108,PRDM16,0,0,0,0,0,0,0,0,0,0
109,MIR4251,0,0,0,0,0,0,0,0,0,0
110,ARHGEF16,0,0,0,1,0,0,0,0,0,0
111,MEGF6,848,979,483,2878,2607,4847,4115,4556,2486,3728
112,MIR551A,0,0,0,0,0,0,0,0,0,0
113,TPRG1L,1943,3212,622,3520,4121,6467,5242,6192,6434,6179
114,WRAP73,317,659,353,683,676,1036,583,736,1004,747
115,TP73,0,0,0,7,6,13,8,12,15,6
116,TP73-AS1,29,60,22,66,111,110,99,103,66,125
117,CCDC27,0,0,0,0,0,0,0,1,0,0
118,SMIM1,23,132,37,12,3,15,22,14,32,16
119,LRRC47,315,472,332,410,444,665,508,536,522,764
120,CEP104,161,231,154,362,415,595,282,553,214,444
121,DFFB,53,1,35,109,142,136,87,130,101,157
122,C1orf174,780,740,1045,311,347,524,317,414,442,517
123,LINC01134,2,0,3,4,1,4,5,2,0,1
124,LINC01346,0,0,0,0,0,0,0,0,0,0
125,LOC284661,0,0,0,0,0,0,0,0,0,0
126,AJAP1,0,0,40,13,19,49,23,35,15,37
127,MIR4417,0,0,0,0,0,0,0,0,0,0
128,MIR4689,0,0,0,0,0,0,0,0,0,0
129,NPHP4,45,96,52,157,127,213,129,207,121,173
130,KCNAB2,841,2037,542,5252,4037,5673,4808,6803,5164,5015
131,CHD5,0,0,0,1,1,7,5,6,17,8
132,RPL22,112,165,135,252,400,402,142,111,177,420
133,LOC102724450,0,0,0,0,0,0,0,0,0,0
134,RNF207,0,0,2,1,3,3,0,2,0,1
135,ICMT,24,1,30,32,63,105,92,62,65,189
136,LINC00337,0,0,0,0,0,0,0,0,0,0
137,HES3,0,0,0,0,0,0,0,0,0,0
138,GPR153,1,6,21,11,16,20,18,15,33,30
139,ACOT7,1,0,7,7,11,6,3,1,7,13
140,HES2,0,0,0,0,0,0,0,0,0,0
141,ESPN,0,0,0,1,0,0,0,0,2,0
142,MIR4252,0,0,0,0,0,0,0,0,0,0
143,TNFRSF25,64,0,31,33,29,38,4,5,15,58
144,PLEKHG5,2,0,0,0,3,1,3,0,0,3
145,NOL9,35,9,43,48,79,82,54,47,41,102
146,TAS1R1,0,0,8,16,14,12,26,5,19,22
147,ZBTB48,445,1042,418,1001,1251,1533,1127,1182,1394,1720
148,KLHL21,1266,1199,651,2506,2596,4671,3102,4756,3480,4275
149,PHF13,296,233,91,777,679,834,827,617,512,814
150,THAP3,191,327,83,85,95,157,121,116,140,141
151,DNAJC11,19,25,34,23,54,54,19,34,13,52
152,LOC100505887,0,0,0,0,0,0,0,0,0,0
153,CAMTA1,219,284,579,61,78,114,73,52,90,145
154,VAMP3,2015,2513,1959,4084,5378,5009,5458,4752,6790,5504
155,PER3,19,1,31,13,28,24,294,37,33,73
156,UTS2,0,0,826,1,2,1,902,0,0,0
157,TNFRSF9,149,220,186,706,918,1058,851,497,701,978
158,PARK7,1737,2742,2615,536,835,871,687,551,898,837
159,ERRFI1,16,6,0,9,0,5,7,4,8,8
160,LOC102724539,0,0,0,0,0,0,0,0,0,0
161,SLC45A1,0,0,0,0,1,1,0,0,1,1
162,RERE,4512,2870,2357,18147,21284,18849,15565,20909,15106,15887
163,LOC102724552,360,256,165,189,229,172,123,257,316,168
164,ENO1,2884,6137,4332,4545,2985,4507,4871,5102,3745,3937
165,MIR6728,0,0,0,0,0,1,0,0,0,0
166,ENO1-AS1,0,0,3,0,1,0,2,0,0,0
167,CA6,2,0,6,0,1,1,0,0,0,1
168,SLC2A7,0,0,0,0,0,0,0,0,0,0
169,SLC2A5,20,105,22,8,57,19,5,12,12,62
170,GPR157,10,0,12,24,25,101,25,34,13,89
171,MIR34A,0,0,0,0,0,0,1,0,0,0
172,H6PD,260,823,103,920,962,2075,1538,895,642,1205
173,SPSB1,0,0,0,6,6,12,2,4,6,15
174,LOC100506022,0,0,0,1,0,0,0,0,0,0
175,SLC25A33,2,0,9,5,11,14,10,3,5,11
176,TMEM201,9,14,0,2,9,6,4,2,1,9
177,PIK3CD,9373,12690,4378,34154,27672,38316,41780,39722,23527,31871
178,PIK3CD-AS1,171,58,84,159,98,164,178,187,232,186
179,PIK3CD-AS2,25,11,13,36,17,22,12,24,13,16
180,CLSTN1,625,545,500,1455,1181,1540,1854,1150,1385,1644
181,CTNNBIP1,83,129,190,300,333,621,535,492,434,574
182,LZIC,254,341,261,190,193,263,223,271,212,297
183,NMNAT1,181,203,208,339,296,367,263,419,336,322
184,MIR5697,0,0,0,1,0,0,0,0,0,0
185,RBP7,1377,2653,1599,1221,592,1748,1651,1681,1950,868
186,UBE4B,1278,895,860,2921,3178,4380,3412,4190,2798,3781
187,KIF1B,1240,2004,973,2609,1675,2423,3067,2538,1885,1681
188,MIR1273D,10,12,2,0,0,0,0,0,0,0
189,RNU6-1,0,0,0,0,0,0,0,0,0,0
190,RNU6-2,0,0,0,0,0,0,0,0,0,0
191,RNU6-7,0,0,0,0,0,0,0,0,0,0
192,RNU6-9,0,0,0,0,0,0,0,0,0,0
193,RNU6-8,0,0,0,0,0,0,0,0,0,0
194,PGD,5537,15148,6552,18967,14858,20773,26297,20910,22000,18968
195,APITD1-CORT,0,0,0,0,0,0,0,0,0,0
196,APITD1,6,0,0,0,1,3,0,0,0,4
197,CORT,0,9,0,0,0,0,1,2,0,0
198,DFFA,9,4,176,37,39,53,31,46,24,76
199,PEX14,23,66,3,23,42,64,48,64,42,115
200,CASZ1,246,122,95,412,632,584,435,470,272,544
201,C1orf127,0,0,0,0,0,2,1,2,3,3
202,TARDBP,1033,1173,945,1392,1305,1232,1112,1076,800,1327
203,MASP2,513,188,462,191,234,189,124,165,155,221
204,SRM,10,0,24,16,32,33,11,8,14,35
205,EXOSC10,145,157,334,179,244,338,227,304,207,443
206,MTOR,241,50,215,588,758,881,593,1098,453,1001
207,MTOR-AS1,0,0,0,0,1,0,2,0,0,0
208,ANGPTL7,0,0,0,0,2,0,0,0,0,0
209,UBIAD1,73,18,145,34,65,100,62,71,65,124
210,PTCHD2,0,0,0,1,0,1,0,0,0,0
211,LOC101929181,0,0,0,2,0,0,0,0,1,0
212,FBXO2,0,0,0,0,1,2,4,1,6,4
213,FBXO44,104,43,15,40,37,39,105,61,65,65
214,FBXO6,1224,342,1269,516,586,478,709,775,1106,284
215,MAD2L2,665,872,609,378,273,405,526,373,619,402
216,DRAXIN,3,57,0,0,1,1,4,3,1,4
217,AGTRAP,7643,15355,7071,4549,4438,6428,6630,6529,11916,5974
218,C1orf167,0,0,0,2,2,1,2,3,2,0
219,LOC102724659,0,0,0,0,0,0,0,0,0,0
220,MTHFR,155,191,91,306,403,742,605,386,364,370
221,CLCN6,19,153,32,67,91,316,125,174,68,55
222,NPPA-AS1,2,0,2,5,13,43,9,13,12,6
223,NPPA,18,0,0,2,8,40,7,25,10,4
224,NPPB,0,0,0,0,0,1,0,1,1,0
225,RNU5E-1,0,0,0,8,7,5,2,2,0,13
226,KIAA2013,809,2505,689,2887,3635,5051,4382,5315,5379,5939
227,PLOD1,449,1556,475,1638,1888,2224,1957,3259,1839,2894
228,MFN2,1137,3382,627,5197,5087,2602,2570,7454,1544,4821
229,MIIP,825,2708,929,1014,1180,883,1158,1426,1447,868
230,MIR6729,0,0,0,0,0,0,0,0,0,0
231,TNFRSF8,150,667,167,541,337,602,414,463,469,524
232,MIR7846,0,0,0,0,0,0,0,0,0,2
233,TNFRSF1B,12628,15984,7194,34697,44082,39942,40956,48624,37907,56427
234,MIR4632,0,1,0,0,5,0,5,3,3,9
235,VPS13D,655,808,480,1517,1410,1739,1526,1679,878,1714
236,SNORA59A,0,0,0,0,0,0,0,0,0,0
237,SNORA59B,0,0,0,0,0,0,0,0,0,0
238,DHRS3,29,0,85,8,11,15,0,1,7,13
239,MIR6730,0,0,0,0,0,0,0,0,0,0
240,AADACL4,0,0,0,0,0,0,0,0,0,0
241,AADACL3,0,0,0,0,0,0,0,0,0,0
242,C1orf158,0,0,0,0,0,0,0,0,0,0
243,PRAMEF12,0,0,0,0,0,0,0,0,0,0
244,PRAMEF1,0,0,0,0,0,0,0,0,0,0
245,PRAMEF11,0,0,0,0,0,0,0,0,0,0
246,HNRNPCL1,0,0,0,0,0,0,0,0,0,0
247,PRAMEF2,0,0,0,0,0,0,0,0,0,0
248,PRAMEF4,0,0,0,0,0,0,0,0,0,0
249,PRAMEF10,0,0,0,0,0,0,0,0,0,0
250,PRAMEF7,0,0,0,0,0,0,0,0,0,0
251,PRAMEF6,0,0,0,0,0,0,0,0,0,0
252,LOC101929983,0,0,0,0,0,0,0,0,0,0
253,HNRNPCL3,0,0,0,0,0,0,0,0,0,0
254,HNRNPCL4,0,0,0,0,0,0,0,0,0,0
255,PRAMEF25,0,0,0,0,0,0,0,0,0,0
256,PRAMEF26,0,0,0,0,0,0,0,0,0,0
257,LOC649324,0,0,0,0,0,0,0,0,0,0
258,LOC645354,0,0,0,0,0,0,0,0,0,0
259,HNRNPCL2,0,0,0,0,0,0,0,0,0,0
260,PRAMEF9,0,0,0,0,0,0,0,0,0,0
261,LOC400736,0,0,0,0,0,0,0,0,0,0
262,LOC391003,0,0,0,0,0,0,0,0,0,0
263,PRAMEF22,0,0,0,0,0,0,0,0,0,0
264,PRAMEF5,0,0,0,0,0,0,0,0,0,0
265,PRAMEF8,0,0,0,0,0,0,0,0,0,0
266,LOC645382,0,0,0,0,0,0,0,0,0,0
267,PRAMEF15,0,0,0,0,0,0,0,0,0,0
268,PRAMEF14,0,0,0,0,0,0,0,0,0,0
269,PRAMEF19,0,0,0,0,0,0,0,0,0,0
270,PRAMEF16,0,0,0,0,0,0,0,0,0,0
271,PRAMEF17,0,0,0,0,0,0,0,0,0,0
272,PRAMEF20,0,0,0,0,0,0,0,0,0,0
273,LRRC38,0,0,0,0,0,0,0,0,0,0
274,PDPN,1,3,2,0,0,0,0,0,0,0
275,PRDM2,1274,833,1110,3490,3563,3419,2849,3965,2333,3544
276,KAZN,305,6,160,824,195,720,867,491,628,991
277,TMEM51-AS1,0,0,0,0,0,0,3,0,0,0
278,TMEM51,0,0,0,1,2,2,0,0,2,0
279,C1orf195,0,0,0,0,0,0,0,0,0,0
280,FHAD1,0,0,0,2,5,4,2,4,1,1
281,EFHD2,5245,10295,3631,38573,44485,45246,50671,49907,60160,51944
282,CTRC,24,49,11,47,54,51,50,22,48,47
283,CELA2A,0,2,10,6,3,4,1,2,5,2
284,CELA2B,11,7,9,11,13,16,10,12,18,18
285,CASP9,546,998,1197,593,717,818,779,766,748,910
286,DNAJC16,30,22,92,90,141,137,115,140,76,157
287,AGMAT,3,0,1,4,7,5,2,3,4,13
288,DDI2,0,0,0,8,9,9,4,4,1,4
289,RSC1A1,1,0,0,6,13,13,10,10,5,12
290,PLEKHM2,584,854,330,2659,2901,3623,3159,4096,2831,3321
291,SLC25A34,32,93,0,100,132,94,105,86,112,76
292,TMEM82,0,0,0,0,0,0,0,0,0,0
293,FBLIM1,70,49,48,55,50,49,51,55,119,71
294,UQCRHL,52,14,34,18,16,14,7,22,34,30
295,FLJ37453,240,301,229,87,133,168,128,182,197,200
296,SPEN,1685,1073,968,5490,6368,8423,7675,8615,3472,8740
297,MIR5096,10,6,16,3,6,2,6,1,13,10
298,ZBTB17,492,274,169,1044,1032,1391,1122,1363,934,1382
299,C1orf64,0,0,0,0,0,0,0,0,0,0
300,HSPB7,0,0,0,0,0,0,0,0,0,0
301,CLCNKA,0,0,0,0,0,0,0,0,0,0
302,CLCNKB,0,0,0,0,0,0,0,0,0,0
303,FAM131C,0,0,0,0,0,0,0,0,0,0
304,EPHA2,0,0,0,0,0,1,2,0,1,1
305,ARHGEF19,4,54,15,17,8,26,13,8,12,10
306,RSG1,0,0,11,6,4,6,7,6,7,7
307,FBXO42,501,247,498,668,909,1093,830,844,668,1185
308,SZRD1,1314,1719,1791,2505,3466,4480,3976,3982,3553,4920
309,SPATA21,26,61,74,8,10,9,10,9,8,8
310,NECAP2,1064,938,989,1050,1127,1711,1409,1419,1639,1571
311,CROCCP3,33,54,124,52,86,99,83,105,94,144
312,RNU1-1,0,0,0,0,0,0,0,0,0,0
313,RNU1-2,0,0,0,0,0,0,0,0,0,0
314,RNU1-3,0,0,0,0,0,0,0,0,0,0
315,RNU1-28P,0,0,0,0,0,0,0,0,0,0
316,RNVU1-18,0,0,0,0,0,0,0,0,0,0
317,RNU1-27P,0,0,0,0,0,0,0,0,0,0
318,RNU1-4,0,0,0,0,0,0,0,0,0,0
319,FAM231B,0,0,10,2,3,2,1,2,0,3
320,MIR3675,0,0,0,0,0,0,0,0,0,0
321,NBPF1,103,176,306,476,444,415,646,585,496,655
322,CROCCP2,120,115,149,105,121,162,179,194,274,152
323,MST1P2,2,0,2,3,7,9,6,17,16,7
324,FAM231A,0,0,0,0,0,0,0,0,0,0
325,FAM231C,0,0,0,0,0,0,0,0,0,0
326,ESPNP,0,0,0,0,3,1,0,0,1,2
327,MST1L,2,0,0,4,6,5,10,15,16,8
328,CROCC,7,0,18,47,103,98,53,173,66,205
329,MFAP2,0,0,0,0,0,0,0,1,0,0
330,ATP13A2,26,0,20,43,97,157,58,70,46,145
331,SDHB,2764,4842,3519,1577,1914,2637,2257,2142,2937,2533
332,PADI2,12684,8454,9184,30628,31997,23684,41001,25261,21909,19622
333,PADI1,0,0,0,0,0,0,0,0,1,0
334,PADI3,0,0,0,0,1,0,2,0,0,0
335,MIR3972,0,0,0,0,0,0,0,0,0,0
336,PADI4,5495,18671,10664,15699,7652,12173,13894,15856,12890,5137
337,PADI6,3,0,1,7,8,3,2,3,5,2
338,RCC2,56,152,75,92,268,152,121,109,82,238
339,ARHGEF10L,9,0,9,4,58,40,4,6,7,32
340,ACTL8,3,4,5,0,0,0,0,0,0,0
341,LOC101927876,0,0,0,0,0,0,0,0,0,0
342,IGSF21,0,0,0,0,0,0,0,0,0,0
343,KLHDC7A,0,0,0,1,4,2,5,0,0,0
344,PAX7,0,0,0,0,0,0,0,0,0,0
345,TAS1R2,0,0,0,0,0,0,0,0,0,1
346,ALDH4A1,8,0,0,18,23,30,16,22,19,33
347,MIR4695,0,0,0,0,0,0,0,0,0,0
348,MIR1290,0,0,0,0,0,0,0,0,0,0
349,IFFO2,4,0,0,20,30,38,5,4,16,46
350,UBR4,1556,2009,1005,4204,4074,4956,4875,5506,2993,4463
351,EMC1,61,53,43,57,106,115,101,67,109,152
352,MRTO4,39,0,20,8,18,11,9,6,5,18
353,AKR7L,3,0,0,1,2,0,1,1,0,0
354,AKR7A3,1,0,0,0,2,2,2,0,0,1
355,LOC100506730,0,0,0,2,2,9,2,3,1,11
356,AKR7A2,17,156,44,34,64,101,52,43,48,156
357,PQLC2,115,205,14,274,351,391,255,307,305,374
358,CAPZB,6037,7934,5436,9530,11058,13760,15360,12961,13971,13988
359,MINOS1-NBL1,0,0,0,0,0,0,0,0,0,0
360,MINOS1,991,993,1342,210,199,241,225,168,258,253
361,RPS14P3,51,0,9,16,16,13,8,16,11,16
362,NBL1,0,0,0,0,0,0,0,0,0,0
363,HTR6,0,0,0,0,0,1,0,0,0,1
364,TMCO4,2,0,15,5,20,29,12,7,21,28
365,RNF186,0,0,0,0,0,0,0,0,0,0
366,OTUD3,52,89,28,73,88,122,85,59,36,127
367,PLA2G2E,0,0,0,0,0,0,1,0,0,0
368,PLA2G2A,0,0,0,0,0,0,0,0,0,0
369,PLA2G5,0,0,0,0,0,0,0,0,0,0
370,PLA2G2D,0,0,0,0,0,0,0,0,0,0
371,PLA2G2F,0,0,0,0,0,0,0,0,0,0
372,PLA2G2C,0,0,0,0,0,1,0,0,2,0
373,UBXN10-AS1,7,0,5,2,0,2,0,0,1,0
374,UBXN10,27,0,16,6,14,22,7,4,33,22
375,VWA5B1,0,0,0,0,0,0,0,0,0,0
376,LINC01141,0,0,0,0,0,0,0,0,0,0
377,CAMK2N1,12,77,0,0,1,1,1,0,3,6
378,MUL1,470,812,533,467,670,811,802,790,803,995
379,FAM43B,0,0,0,0,0,0,0,0,0,0
380,CDA,7470,22779,12448,6443,4347,10117,12494,10049,14789,11079
381,PINK1,170,356,213,1292,1399,2345,2622,2604,1473,2310
382,MIR6084,0,0,0,0,0,0,0,0,0,0
383,PINK1-AS,72,31,91,115,143,98,125,117,78,150
384,DDOST,836,822,1620,538,896,1304,871,979,672,1424
385,KIF17,0,0,0,1,0,1,0,1,0,0
386,SH2D5,3,0,0,10,7,4,1,4,3,5
387,HP1BP3,1868,2404,2380,3959,4271,4628,3962,4964,3329,5193
388,EIF4G3,827,652,823,2307,2249,1915,2138,2105,1344,1676
389,MIR1256,0,0,0,1,0,0,0,0,0,0
390,ECE1,1550,6312,1450,15133,16052,25031,25105,23176,23134,26673
391,LOC100506801,199,104,121,73,82,57,92,37,67,51
392,NBPF3,33,2,26,10,10,13,167,103,15,131
393,ALPL,3807,11849,5098,47022,20618,39220,45916,26646,52858,41058
394,RAP1GAP,18,11,28,191,111,61,101,86,79,101
395,USP48,719,909,1028,1910,1826,2219,2064,2092,1297,2041
396,LDLRAD2,0,0,0,0,0,1,0,0,0,0
397,HSPG2,0,0,0,2,2,4,0,0,0,6
398,CELA3B,0,0,0,0,0,0,0,0,0,0
399,CELA3A,0,0,0,0,0,0,0,0,0,0
400,LOC101928043,0,0,0,3,2,2,1,4,0,1
401,LINC00339,80,26,183,84,137,123,67,109,129,385
402,CDC42,22037,25813,31882,16762,16383,18356,19750,17382,20476,22005
403,WNT4,25,0,0,15,22,12,8,8,3,15
404,MIR4418,0,0,0,0,0,0,0,0,0,0
405,ZBTB40,14,0,14,220,315,227,239,189,97,265
406,EPHA8,0,0,0,0,0,1,0,0,0,0
407,MIR6127,0,0,0,0,0,0,0,0,0,0
408,C1QA,6,0,0,1,15,16,0,1,0,7
409,C1QC,0,0,0,0,6,2,0,0,0,1
410,C1QB,0,0,0,0,9,2,0,1,0,4
411,EPHB2,0,0,3,2,12,4,0,0,0,4
412,MIR4684,0,0,0,0,0,0,0,0,0,0
413,MIR4253,0,0,0,0,0,0,0,0,0,0
414,LACTBL1,0,0,0,0,0,0,0,0,0,0
415,C1orf234,0,0,0,0,0,0,0,0,0,0
416,KDM1A,45,18,50,81,132,107,71,80,65,160
417,MIR3115,0,0,0,0,0,0,0,0,0,0
418,MIR4419A,0,0,0,0,0,0,0,0,0,0
419,LUZP1,79,3,72,72,149,125,91,74,61,114
420,HTR1D,0,0,0,0,0,0,0,0,0,0
421,LINC01355,11,0,0,4,9,3,0,4,2,5
422,HNRNPR,926,313,1060,990,1482,1574,970,1093,868,1648
423,ZNF436,73,13,115,199,261,242,189,292,114,311
424,ZNF436-AS1,2,29,0,2,5,2,4,6,5,7
425,TCEA3,0,0,0,1,3,4,4,1,0,7
426,ASAP3,0,0,0,0,1,3,0,0,1,1
427,E2F2,12,11,12,41,46,36,84,97,14,46
428,LOC101928163,0,0,0,0,0,0,0,1,0,0
429,ID3,119,767,155,94,41,84,245,83,82,51
430,MDS2,5,29,0,1,0,6,0,0,0,2
431,RPL11,967,1448,900,1954,2625,3226,2310,2320,2754,4003
432,TCEB3,255,158,537,343,471,522,422,414,314,711
433,TCEB3-AS1,5,16,5,5,6,5,1,11,8,9
434,PITHD1,652,344,788,416,613,768,636,554,618,830
435,LYPLA2,963,1903,1035,1543,1925,2503,2065,2306,2800,2447
436,GALE,159,171,138,113,91,140,102,123,120,111
437,HMGCL,310,230,404,150,185,229,202,241,201,193
438,FUCA1,169,278,609,139,385,501,459,373,363,275
439,CNR2,18,71,91,99,128,183,159,209,54,178
440,MIR378F,0,0,3,0,0,0,0,0,0,0
441,PNRC2,2486,1790,2768,2180,2319,3000,2494,2779,2813,3122
442,SRSF10,1458,859,1213,1275,1527,1450,1164,1385,1148,1763
443,MYOM3,0,0,0,0,0,0,0,0,0,0
444,IL22RA1,0,0,0,0,0,0,0,0,0,0
445,IFNLR1,43,43,45,24,17,25,38,15,42,23
446,LOC284632,0,0,0,0,0,0,0,0,0,0
447,GRHL3,10,0,0,1,3,6,2,3,2,11
448,STPG1,0,0,63,11,17,16,14,17,26,18
449,NIPAL3,88,113,435,45,104,121,113,96,59,185
450,RCAN3AS,0,0,3,0,0,2,0,0,0,0
451,RCAN3,18,0,13,33,41,48,27,22,12,47
452,LOC100506985,0,0,19,13,13,10,7,4,3,18
453,NCMAP,0,0,0,0,0,0,0,0,0,0
454,SRRM1,1474,1197,1551,2161,2735,2412,2282,2445,1861,3179
455,CLIC4,112,176,186,316,691,255,472,151,168,531
456,RUNX3,246,273,318,577,1042,1435,1437,940,1093,5624
457,MIR6731,0,0,0,0,0,0,0,0,0,2
458,MIR4425,0,13,0,0,0,0,0,0,0,1
459,SYF2,9524,8405,11994,3968,4179,4064,4141,3844,5399,4620
460,RSRP1,4111,2184,3443,2456,2418,2066,2769,2424,3285,1978
461,RHD,111,480,208,316,251,63,660,649,763,476
462,TMEM50A,7622,11353,12773,6722,7171,7154,10386,8672,12608,8445
463,RHCE,0,65,33,33,37,1,77,57,82,53
464,TMEM57,52,15,46,249,271,371,338,309,247,454
465,LDLRAP1,42,48,48,64,123,106,13,20,27,100
466,MAN1C1,18,0,22,11,34,35,14,25,26,40
467,SEPN1,42,133,51,259,502,665,417,472,432,904
468,MTFR1L,483,1230,1099,428,618,719,637,578,640,922
469,LOC646471,21,52,67,78,133,155,93,121,49,168
