,Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
14539,C2orf76,354,362,475,137,112,164,165,113,233,159
14540,DBI,2099,2709,4010,674,742,934,960,692,1143,1192
14541,TMEM37,0,0,0,0,0,0,0,0,0,0
14542,SCTR,0,0,0,0,0,0,0,0,0,0
14543,CFAP221,0,0,0,0,0,0,0,0,0,0
14544,TMEM177,0,0,0,0,1,3,0,0,1,2
14545,PTPN4,169,134,94,211,229,177,177,182,114,245
14546,EPB41L5,132,293,202,143,243,78,190,139,113,104
14547,TMEM185B,759,1224,458,2380,2114,1793,2585,2243,2214,1867
14548,RALB,9519,11619,18901,15834,16386,15375,23078,15771,26069,14880
14549,INHBB,25,61,13,117,84,64,175,67,252,108
14550,LINC01101,0,0,0,0,0,0,0,0,0,0
14551,GLI2,0,0,0,0,0,0,0,0,0,0
14552,TFCP2L1,0,0,0,25,2,9,0,2,2,9
14553,CLASP1,596,692,381,2005,1903,1850,1981,1956,1325,2039
14554,RNU4ATAC,4,1,44,7,7,7,11,2,6,16
14555,NIFK-AS1,101,53,76,46,71,81,67,55,62,77
14556,NIFK,50,0,41,33,61,49,58,27,25,67
14557,TSN,458,541,550,385,577,629,550,456,414,709
14558,CNTNAP5,0,0,0,0,0,0,0,0,0,0
14559,GYPC,145,339,284,156,339,233,268,203,350,177
14560,BIN1,43,10,18,35,36,75,7,15,13,80
14561,CYP27C1,0,0,0,0,0,0,0,0,1,0
14562,ERCC3,334,360,248,347,362,460,383,408,282,501
14563,MAP3K2,7866,4782,5843,13915,11055,10562,10958,9640,8988,8315
14564,PROC,32,0,64,110,78,74,82,113,183,44
14565,MIR4783,0,0,0,1,1,1,0,0,0,0
14566,IWS1,859,824,892,1369,1678,1683,1822,1426,1206,1890
14567,MYO7B,511,3036,1365,911,694,1540,1263,879,2502,838
14568,LOC105373609,0,0,0,0,0,0,1,0,0,0
14569,LIMS2,5,46,4,28,20,22,23,13,13,9
14570,GPR17,3,0,1,23,18,20,57,16,21,22
14571,SFT2D3,7,39,56,120,179,229,160,143,174,248
14572,WDR33,564,575,398,1539,1290,1387,1372,1470,1166,1468
14573,POLR2D,151,155,108,130,155,142,154,106,114,229
14574,AMMECR1L,253,113,163,624,717,701,585,599,462,770
14575,SAP130,504,441,321,1432,1668,2130,1596,2072,979,1878
14576,UGGT1,949,960,854,4654,3673,4352,4028,4624,2805,3599
14577,HS6ST1,44,33,61,255,282,240,333,264,197,639
14578,LOC101927881,13,19,4,4,0,2,1,0,0,5
14579,LOC151121,0,0,0,0,0,0,0,0,0,0
14580,LOC389033,0,0,0,0,0,0,0,0,0,0
14581,LOC101927924,0,0,0,0,0,0,0,0,0,0
14582,RAB6C-AS1,0,0,0,0,0,0,0,0,0,0
14583,RAB6C,7,7,12,2,6,8,9,2,7,5
14584,FAR2P1,0,0,0,0,0,1,0,0,0,0
14585,POTEF,0,0,0,0,0,0,0,0,0,0
14586,MED15P9,0,0,0,0,0,0,0,1,0,1
14587,CCDC74B,0,0,0,0,1,1,1,0,1,1
14588,SMPD4,53,35,116,258,321,392,292,265,226,440
14589,MZT2B,19,62,75,60,63,147,72,94,174,136
14590,TUBA3E,0,0,0,0,1,0,0,0,0,1
14591,CCDC115,501,834,778,205,283,365,280,301,426,543
14592,IMP4,89,158,150,36,65,87,46,55,61,107
14593,PTPN18,739,565,739,1714,2595,2896,2096,2379,2331,3417
14594,FAR2P2,0,0,0,2,0,0,0,0,1,1
14595,CYP4F62P,0,0,0,0,0,0,0,0,0,0
14596,POTEI,14,25,21,0,3,8,3,1,4,4
14597,CFC1B,0,0,0,0,0,0,0,0,0,0
14598,LOC646743,0,0,0,0,0,0,0,0,0,0
14599,TISP43,0,0,0,0,0,0,0,0,0,0
14600,CFC1,0,0,0,0,0,0,0,0,0,0
14601,POTEJ,9,25,18,1,1,11,1,2,3,6
14602,CYP4F30P,0,0,0,0,0,0,0,0,0,0
14603,GPR148,0,0,0,0,0,0,0,0,0,0
14604,AMER3,0,0,0,0,0,0,0,0,0,0
