Gene
CTAGE8
FAM98A
OR4Q3
GTPBP10
OSBPL2
LRTOMT
CCDC39
GPR75-ASB3
TARP
SPG7
ANO5
OOSP1
PPIAL4C
ACTL10
USP9Y
FAM53C
KLHL23
PGBD3
F8A1
MSANTD3-TMEFF1
CTAGE4
SCNM1
TBC1D7
DLEU7
SUMF1
LOC729966
ARMCX5-GPRASP2
NPIPB3
MCL1
PPIAL4D
ZNF117
NOMO2
FOXO6
FAM153B
ZNF883
OMG
OR2C3
POLR2J3
UGT1A5
TBCE
C8orf44-SGK3
FCGR2C
KLRC4-KLRK1
ANKRD18A
TCEAL6
LOC728392
NBL1
CYP2D7
MEF2B
UGT1A3
PANO1
PRRC2B
ARHGAP11B
PAK6
TAS2R14
ORAI1
SOD2
MMAA
HOMEZ
NPBWR1
F8A2
ADGRF2
