Names	total	elements
		HSPE1-MOB4
		TLE1
		PCDH1
		MAGED4B
		CDK9
		TRAPPC12
		DENND2C
		TMSB15A
		SLC22A17
		KRT73
		EBF4
		ARHGAP18
		PRG4
		PGRMC1
		ITGA2B
		MAOB
		PTGDS
		MLLT1
		NCS1
		BTNL8
		BACE1
		TNFSF4
		DRC1
		TOMM6
		TMPRSS9
		INHBA
		RBP4
		CDCA3
		SPATA25
		AARSD1
		NME2
		LIME1
		PXDC1
		MGAT2
		MSH5
		PPAN-P2RY11
		RAI1
		SRXN1
		RPS20
		LRRC24
		LAMB1
		ADM2
		CTSG
		BEND2
		SLC2A12
		B3GNT4
		ICAM4
		FOXO4
		ANAPC2
		STARD10
		MLLT6
		GRAPL
		BCL2L2-PABPN1
		SFT2D3
		PRKG1
		DGKI
		NFIX
		ADRA2B
		MMP21
		GAL3ST2
		IL9R
		RNASE3
		NFIB
		MBD6
		SORBS1
		CD5L
		ZNF23
		GJA3
		TUBA8
		KREMEN1
		STIL
		CYGB
		UBE2C
		DHPS
		MND1
		ZC3H12D
		SLC35E4
		RPS15A
		SPNS2
		PGA3
		IRF2BP1
		NDST2
		CIC
		SKOR1
		PIH1D2
		IL3RA
		IL1R2
		SAMD14
		DCAF15
		HCN2
		EVA1B
		EFHB
		DLK2
		HES6
		ADORA1
		UCP1
		SEMA6C
		POLE2
		VNN1
		ZNF844
		SDC1
		TEX22
		GRIN2D
		C11orf87
		KIFC2
		PSAT1
		GRIN1
		PRSS50
		SLC12A1
		GTF2IRD2
		NPEPL1
		WNT7A
		CCDC80
		SOWAHD
		HTR6
		RHOB
		ZNF777
		TMEM190
		FADS3
		ZBTB9
		NKD2
		CLU
		FXYD7
		AMH
		PRODH
		PFDN6
		ENDOD1
		PTH2R
		CNTNAP3
		IFI30
		GLUL
		AUNIP
		WNT10A
		TRAF4
		OR2B11
		EPHX1
		TOP2A
		GYPB
		PRTN3
		GADD45GIP1
		C16orf89
		AVPR1A
		GEMIN7
		EHD3
		UBA52
		JSRP1
		SOX8
		KLRC3
		LRRC4B
		PARP10
		MTHFS
		PKD1L1
		CAV1
		BRSK2
		ATRIP
		HELLS
		AEBP1
		SNRPN
		TNNI3K
		PRR7
		C4orf47
		CA2
		SLC25A6
		RLN3
		C1orf74
		ETS1
		FGD1
		ASNS
		RPL18
		ANKRD29
		TVP23C-CDRT4
		CXCL1
		PROB1
		ADAT3
		GPR146
		SPC25
		MXD3
		SLC25A33
		EIF3C
		CD81
		C19orf84
		CYP2W1
		C19orf33
		RYR2
		FAM98C
		TMED7-TICAM2
		POLN
		HOXA4
		ADAP1
		AP3D1
		PKMYT1
		C1QB
		MAP2
		SERHL2
		C16orf46
		OGFR
		NOS3
		SEMA4G
		NXF3
		MMP17
		PROM1
		MYL5
		KIF15
		MATN1
		KCNIP4
		ANGPTL6
		FAM43A
		TUSC1
		LYPD5
		KCNA5
		SPRY3
		DYNC1I1
		PPP4C
		ADSL
		TMEM249
		PET100
		BUB1B
		AKT1S1
		SLC46A1
		TSC22D4
		ERF
		PRRC2A
		ZNF205
		RASL10A
		MFSD12
		RPL13
		GPC2
		RILP
		TMEM17
		OTOGL
		HJURP
		CDKN1C
		SPSB3
		COL17A1
		FAM133A
		OPRM1
		ST6GALNAC6
		KIAA1614
		KIF24
		FAM83F
		C1orf226
		BSCL2
		DDX51
		CLVS1
		CCDC61
		ZC3H11A
		VCL
		CBLN3
		ZNF517
		RNASEH2A
		DNASE1L2
		SERPINE1
		LIN37
		RAVER2
		MAP1B
		SPATA21
		VCAM1
		PPP2R2D
		CSNK2A3
		DTL
		ATP6V1C2
		BEND6
		GNA14
		RSAD2
		CYTH3
		TLR9
		DEAF1
		RGS6
		SLC26A5
		AMN
		GPR137
		TBC1D10B
		LMTK3
		MARK4
		CTU1
		OAF
		ZNF337
		CTNNAL1
		RAD51
		CIT
		RPL13A
		RPL41
		DRAP1
		HTRA2
		ZNF575
		NFKBIE
		NOG
		POLR2J2
		SERPINB10
		RANGRF
		CPA5
		HMMR
		KIAA0319
		RNASET2
		CHD5
		RPS7
		HSPA1B
		C7orf25
		AP1M2
		NRBP2
		IDUA
		CSRP2
		MAPK15
		SLC25A28
		CFB
		AKT1
		HEMGN
		CDC42BPB
		CXCL6
		CDC34
		SYT17
		TRIM39-RPP21
		RD3L
		SLC6A9
		CAPN10
		TMEFF1
		CUEDC1
		C16orf95
		CRTAC1
		UNC93B1
		TMEM145
		SAP25
		KLHL17
		GIMAP5
		TJP2
		KRT10
		SCRIB
		EGLN3
		CSF2RA
		TXNRD3
		CITED4
		HSD17B8
		YBX3
		ALG10
		SLC5A2
		PRR12
		DLGAP2
		MLXIPL
		MIF
		WDR86
		GH1
		CCL25
		KRT5
		ABHD14A-ACY1
		GNAT2
		F2RL3
		TLCD1
		PDE8B
		ABLIM3
		LTC4S
		FUT5
		RBM27
		TMEM132B
		ADAMTS10
		CLDND2
		COL10A1
		COL6A1
		FOXD1
		AMT
		NLGN4Y
		GNG13
		FRMD7
		TCF7
		PDZD4
		MMRN1
		GSK3A
		GIPC1
		SATL1
		GKAP1
		FAM193B
		NTN5
		VIPR1
		SPARC
		RGPD1
		FZD1
		DDR1
		PTGS1
		ZNF579
		DCC
		RNF157
		PMEPA1
		TNFSF9
		F3
		CNIH3
		CTSZ
		ZNF385A
		SYNPO
		IGIP
		HES4
		CCDC92
		KCNK5
		FTCD
		FAM131B
		ZXDB
		RIMBP3C
		CYP46A1
		KBTBD12
		ARL17A
		PHOSPHO1
		HAS1
		MAMDC2
		XIRP2
		DOK7
		CA1
		JUN
		KCNJ15
		PARD3
		TTC9
		ECI1
		NOTCH3
		C1orf116
		MZT2A
		TREX1
		POM121
		HSFX1
		TTK
		PRSS53
		ESPN
		PSMB10
		MTMR3
		PAM16
		PPP1R3G
		TRNP1
		ZGPAT
		HOXB2
		HNRNPL
		CDKN3
		RSPH9
		ARHGEF10
		GLI4
		UBE2Q1
		TIGD5
		TADA2B
		TFF3
		RAB43
		ADCY9
		BAX
		SLC52A2
		CP
		METTL21C
		FXYD3
		NDUFS7
		SELENBP1
		FXYD6-FXYD2
		AHSP
		SMARCE1
		PKD2L2
		CLN3
		LRP11
		C2orf74
		MBOAT2
		MRPL53
		RNF44
		TUBB1
		NPTXR
		ECSCR
		CACNA1I
		GLS2
		VHL
		ZNF358
		CENPF
		EEF1G
		KIAA0825
		INCENP
		ANKRD23
		ABHD16A
		DACT1
		PNPLA2
		PRSS1
		SNX21
		PPIL6
		CEACAM3
		SMIM18
		KRT23
		ARL13A
		N4BP3
		HBA2
		RFPL1
		SPOCD1
		CSF2
		MMP9
		RNF169
		RPS27
		CDCA8
		FAM166A
