Names	total	elements
		FAM229A
		PAQR4
		SCHIP1
		HP
		GDF9
		TJP3
		MMP23B
		TMEM140
		AURKB
		MICALL1
		FXYD2
		GALR2
		PTGES3L-AARSD1
		PPL
		MOGS
		PLSCR4
		TBX21
		TNFAIP6
		MAP3K7CL
		ZFP41
		CARD14
		GGN
		RTEL1
		ZNF709
		RNF182
		AHRR
		NDUFA13
		POLRMT
		DOK4
		TOMM20L
		SLC25A18
		NENF
		TMEM238
		MTG1
		PRSS22
		TPT1
		MRPS28
		FTH1
		SYTL4
		TNRC18
		LDLRAD2
		SNTG2
		MUC5B
		SLC34A3
		OMD
		SLC4A5
		JUND
		NOXA1
		EHBP1L1
		CELF5
		C1orf198
		NGFR
		GRHL1
		MEIS1
		CRYBB3
		WNT6
		EGF
		NECAB2
		IL1A
		CACNA1H
		CTAGE9
		HCRTR1
		TBC1D3B
		ESPNL
		URGCP-MRPS24
		OR52K1
		BVES
		WBP1
		KLF2
		METTL7B
		KIF4A
		ANKRD22
		SELP
		SSMEM1
		DEFA1B
		PGLYRP1
		FBF1
		UBALD1
		RABGEF1
		P2RY8
		DCLK2
		NTN4
		MEMO1
		SHH
		SYDE2
		SH2B1
		ACAP3
		ENO4
		RFNG
		TNFRSF17
		POTEJ
		DPYSL4
		NSMF
		C1orf115
		DGAT1
		RHCE
		ABHD17A
		RAD54B
		KANK3
		PRRT1
		PANK1
		ZNF414
		MED25
		SPP1
		GLI1
		RGPD2
		ZNF177
		IGFLR1
		HYPK
		HCAR2
		OTUD7A
		APOA2
		SH3BGRL2
		LENG9
		FAM81B
		ASPSCR1
		PTGS2
		CSNK2B
		C1QTNF7
		CFHR1
		DMRTC1B
		LRP5
		OLR1
		OPN3
		EHD2
		MAP1A
		REXO1
		RASAL3
		ANKHD1-EIF4EBP3
		MCM10
		TRAPPC5
		TPGS1
		NPIPB5
		DND1
		ATXN7
		SNTA1
		TCFL5
		RNF150
		ESRP2
		FPGT-TNNI3K
		NCK2
		HHIPL1
		USP35
		LRCH4
		ZNF740
		RS1
		RRAS
		CLEC4M
		C19orf81
		TRPC1
		GYPA
		ZFPL1
		OLIG1
		SPATA9
		CNFN
		CCDC85B
		DVL1
		SCNN1B
		KAT8
		HERC3
		BAIAP3
		MELK
		RPL17
		KRT74
		MUC20
		FAM53A
		ROPN1L
		SNCA
		LRRC45
		KMT2B
		ADCK2
		GRTP1
		RABAC1
		ZFHX2
		YPEL1
		KLRC4
		HRAS
		POFUT2
		RABL6
		PDE3A
		TNFRSF10C
		FRS3
		OTOF
		GXYLT2
		TEX14
		KAT5
		CDR2L
		BCL6
		AMIGO3
		PROS1
		NPIPA5
		NYAP1
		VEGFA
		LIMS1
		SDR39U1
		ZWINT
		SLC16A11
		MORC1
		MFAP3L
		PITPNM2
		SLC31A2
		LRRC8E
		DOCK4
		MME
		SENP3
		SHANK3
		SCARF2
		COG8
		ZNF713
		ARPC1A
		ABHD16B
		ZBED6
