Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
OR4F5,1,0,0,0,0,0,1,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0,0,0,0
NOC2L,45,90,35,110,156,194,108,146,74,263
KLHL17,82,3,26,88,92,105,72,103,70,173
PLEKHN1,0,0,0,2,1,2,2,0,0,1
PERM1,0,0,0,1,0,1,0,0,0,0
HES4,41,12,75,116,158,101,294,106,286,201
ISG15,99865,15430,51112,3271,1437,885,2443,981,2018,1127
AGRN,91,3,12,255,105,66,144,48,57,144
RNF223,0,0,0,0,0,0,0,0,0,0
C1orf159,42,0,29,51,73,80,54,82,69,172
TTLL10,0,0,0,1,0,0,0,0,0,0
TNFRSF18,6,0,0,4,2,0,0,1,4,9
TNFRSF4,16,0,2,24,33,15,20,15,30,49
SDF4,480,1066,894,2022,2346,3395,2806,3503,3103,3915
B3GALT6,32,1,8,79,124,152,130,118,149,201
UBE2J2,1274,1758,1498,1527,1642,2170,2075,1843,2262,2435
SCNN1D,5,0,10,6,12,16,8,9,9,21
ACAP3,132,110,119,817,872,1113,745,984,862,1130
PUSL1,109,299,78,136,131,193,132,137,162,238
CPTP,49,163,43,301,396,626,638,527,718,763
TAS1R3,0,1,0,15,21,25,48,18,26,40
DVL1,45,107,21,277,291,437,325,304,310,500
MXRA8,0,0,0,8,3,12,1,3,0,5
AURKAIP1,1603,2870,1498,1815,1925,2923,2535,2386,3468,2551
CCNL2,3421,2316,3127,2886,3568,3194,2329,3232,2852,3587
MRPL20,513,811,554,164,249,300,280,218,318,342
ANKRD65,0,1,0,0,0,1,0,0,0,1
TMEM88B,0,0,0,0,0,0,0,0,0,0
VWA1,0,0,0,0,0,0,0,0,0,1
ATAD3C,2,6,17,3,6,8,4,3,9,21
ATAD3B,48,0,102,47,106,88,37,71,77,117
ATAD3A,1,0,5,23,48,52,36,29,24,76
TMEM240,0,0,1,11,9,13,17,8,11,9
SSU72,3704,4056,3956,2238,3022,3325,3089,2996,4336,3420
MIB2,126,119,109,1182,1242,1723,1225,1339,1633,1882
MMP23B,0,0,0,2,2,3,1,1,0,3
CDK11B,1093,1149,897,4466,4164,4663,4991,4373,4948,5869
SLC35E2B,581,839,338,3593,2551,2696,3894,2962,1544,4322
CDK11A,1179,1395,815,3183,3756,3781,3673,3666,4289,4284
NADK,20385,20948,15076,48197,45720,49819,50757,52565,52917,46570
GNB1,4604,4824,3321,15145,17760,23115,21498,21693,20827,24805
CALML6,0,0,0,0,0,0,0,1,0,0
TMEM52,0,0,0,0,1,0,1,1,4,0
CFAP74,0,0,0,0,0,0,0,0,0,0
GABRD,0,0,0,0,1,0,0,0,0,0
PRKCZ,206,331,404,370,545,589,644,699,570,697
FAAP20,188,444,320,448,446,611,717,590,948,730
SKI,129,129,51,5188,3637,6082,5306,5812,4487,5630
MORN1,67,23,31,46,28,47,38,37,23,63
RER1,3262,3419,3964,2611,3010,3466,3038,3109,3985,3228
PEX10,2,4,30,24,26,35,34,31,22,69
PLCH2,0,1,0,13,19,19,24,11,9,20
PANK4,558,769,707,644,553,910,712,798,710,915
HES5,0,0,0,0,0,0,0,0,0,0
TNFRSF14,4740,7021,3453,6320,7116,7148,5322,6667,8631,7441
MMEL1,0,0,0,7,8,13,7,12,5,8
TTC34,0,0,0,0,0,0,1,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
PRDM16,0,0,0,0,0,0,0,0,0,0
ARHGEF16,0,0,0,1,0,0,0,0,0,0
MEGF6,848,979,483,2878,2607,4847,4115,4556,2486,3728
TPRG1L,1943,3212,622,3520,4121,6467,5242,6192,6434,6179
WRAP73,317,659,353,683,676,1036,583,736,1004,747
TP73,0,0,0,7,6,13,8,12,15,6
CCDC27,0,0,0,0,0,0,0,1,0,0
SMIM1,23,132,37,12,3,15,22,14,32,16
LRRC47,315,472,332,410,444,665,508,536,522,764
CEP104,161,231,154,362,415,595,282,553,214,444
DFFB,53,1,35,109,142,136,87,130,101,157
C1orf174,780,740,1045,311,347,524,317,414,442,517
AJAP1,0,0,40,13,19,49,23,35,15,37
NPHP4,45,96,52,157,127,213,129,207,121,173
KCNAB2,841,2037,542,5252,4037,5673,4808,6803,5164,5015
CHD5,0,0,0,1,1,7,5,6,17,8
RPL22,112,165,135,252,400,402,142,111,177,420
RNF207,0,0,2,1,3,3,0,2,0,1
ICMT,24,1,30,32,63,105,92,62,65,189
HES3,0,0,0,0,0,0,0,0,0,0
GPR153,1,6,21,11,16,20,18,15,33,30
ACOT7,1,0,7,7,11,6,3,1,7,13
HES2,0,0,0,0,0,0,0,0,0,0
ESPN,0,0,0,1,0,0,0,0,2,0
TNFRSF25,64,0,31,33,29,38,4,5,15,58
PLEKHG5,2,0,0,0,3,1,3,0,0,3
NOL9,35,9,43,48,79,82,54,47,41,102
TAS1R1,0,0,8,16,14,12,26,5,19,22
ZBTB48,445,1042,418,1001,1251,1533,1127,1182,1394,1720
KLHL21,1266,1199,651,2506,2596,4671,3102,4756,3480,4275
PHF13,296,233,91,777,679,834,827,617,512,814
THAP3,191,327,83,85,95,157,121,116,140,141
DNAJC11,19,25,34,23,54,54,19,34,13,52
CAMTA1,219,284,579,61,78,114,73,52,90,145
VAMP3,2015,2513,1959,4084,5378,5009,5458,4752,6790,5504
PER3,19,1,31,13,28,24,294,37,33,73
UTS2,0,0,826,1,2,1,902,0,0,0
TNFRSF9,149,220,186,706,918,1058,851,497,701,978
PARK7,1737,2742,2615,536,835,871,687,551,898,837
ERRFI1,16,6,0,9,0,5,7,4,8,8
SLC45A1,0,0,0,0,1,1,0,0,1,1
RERE,4512,2870,2357,18147,21284,18849,15565,20909,15106,15887
ENO1,2884,6137,4332,4545,2985,4507,4871,5102,3745,3937
CA6,2,0,6,0,1,1,0,0,0,1
SLC2A7,0,0,0,0,0,0,0,0,0,0
SLC2A5,20,105,22,8,57,19,5,12,12,62
GPR157,10,0,12,24,25,101,25,34,13,89
H6PD,260,823,103,920,962,2075,1538,895,642,1205
SPSB1,0,0,0,6,6,12,2,4,6,15
SLC25A33,2,0,9,5,11,14,10,3,5,11
TMEM201,9,14,0,2,9,6,4,2,1,9
PIK3CD,9373,12690,4378,34154,27672,38316,41780,39722,23527,31871
CLSTN1,625,545,500,1455,1181,1540,1854,1150,1385,1644
CTNNBIP1,83,129,190,300,333,621,535,492,434,574
LZIC,254,341,261,190,193,263,223,271,212,297
NMNAT1,181,203,208,339,296,367,263,419,336,322
RBP7,1377,2653,1599,1221,592,1748,1651,1681,1950,868
UBE4B,1278,895,860,2921,3178,4380,3412,4190,2798,3781
KIF1B,1240,2004,973,2609,1675,2423,3067,2538,1885,1681
PGD,5537,15148,6552,18967,14858,20773,26297,20910,22000,18968
CORT,0,9,0,0,0,0,1,2,0,0
DFFA,9,4,176,37,39,53,31,46,24,76
PEX14,23,66,3,23,42,64,48,64,42,115
CASZ1,246,122,95,412,632,584,435,470,272,544
C1orf127,0,0,0,0,0,2,1,2,3,3
TARDBP,1033,1173,945,1392,1305,1232,1112,1076,800,1327
MASP2,513,188,462,191,234,189,124,165,155,221
SRM,10,0,24,16,32,33,11,8,14,35
EXOSC10,145,157,334,179,244,338,227,304,207,443
MTOR,241,50,215,588,758,881,593,1098,453,1001
ANGPTL7,0,0,0,0,2,0,0,0,0,0
UBIAD1,73,18,145,34,65,100,62,71,65,124
FBXO2,0,0,0,0,1,2,4,1,6,4
FBXO44,104,43,15,40,37,39,105,61,65,65
FBXO6,1224,342,1269,516,586,478,709,775,1106,284
MAD2L2,665,872,609,378,273,405,526,373,619,402
DRAXIN,3,57,0,0,1,1,4,3,1,4
AGTRAP,7643,15355,7071,4549,4438,6428,6630,6529,11916,5974
C1orf167,0,0,0,2,2,1,2,3,2,0
MTHFR,155,191,91,306,403,742,605,386,364,370
CLCN6,19,153,32,67,91,316,125,174,68,55
NPPA,18,0,0,2,8,40,7,25,10,4
NPPB,0,0,0,0,0,1,0,1,1,0
KIAA2013,809,2505,689,2887,3635,5051,4382,5315,5379,5939
PLOD1,449,1556,475,1638,1888,2224,1957,3259,1839,2894
MFN2,1137,3382,627,5197,5087,2602,2570,7454,1544,4821
MIIP,825,2708,929,1014,1180,883,1158,1426,1447,868
TNFRSF8,150,667,167,541,337,602,414,463,469,524
TNFRSF1B,12628,15984,7194,34697,44082,39942,40956,48624,37907,56427
VPS13D,655,808,480,1517,1410,1739,1526,1679,878,1714
DHRS3,29,0,85,8,11,15,0,1,7,13
AADACL4,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0
LRRC38,0,0,0,0,0,0,0,0,0,0
PDPN,1,3,2,0,0,0,0,0,0,0
PRDM2,1274,833,1110,3490,3563,3419,2849,3965,2333,3544
KAZN,305,6,160,824,195,720,867,491,628,991
TMEM51,0,0,0,1,2,2,0,0,2,0
FHAD1,0,0,0,2,5,4,2,4,1,1
EFHD2,5245,10295,3631,38573,44485,45246,50671,49907,60160,51944
CTRC,24,49,11,47,54,51,50,22,48,47
CELA2A,0,2,10,6,3,4,1,2,5,2
CELA2B,11,7,9,11,13,16,10,12,18,18
CASP9,546,998,1197,593,717,818,779,766,748,910
DNAJC16,30,22,92,90,141,137,115,140,76,157
AGMAT,3,0,1,4,7,5,2,3,4,13
DDI2,0,0,0,8,9,9,4,4,1,4
RSC1A1,1,0,0,6,13,13,10,10,5,12
PLEKHM2,584,854,330,2659,2901,3623,3159,4096,2831,3321
SLC25A34,32,93,0,100,132,94,105,86,112,76
TMEM82,0,0,0,0,0,0,0,0,0,0
FBLIM1,70,49,48,55,50,49,51,55,119,71
UQCRHL,52,14,34,18,16,14,7,22,34,30
SPEN,1685,1073,968,5490,6368,8423,7675,8615,3472,8740
ZBTB17,492,274,169,1044,1032,1391,1122,1363,934,1382
HSPB7,0,0,0,0,0,0,0,0,0,0
CLCNKA,0,0,0,0,0,0,0,0,0,0
CLCNKB,0,0,0,0,0,0,0,0,0,0
FAM131C,0,0,0,0,0,0,0,0,0,0
EPHA2,0,0,0,0,0,1,2,0,1,1
ARHGEF19,4,54,15,17,8,26,13,8,12,10
FBXO42,501,247,498,668,909,1093,830,844,668,1185
SZRD1,1314,1719,1791,2505,3466,4480,3976,3982,3553,4920
SPATA21,26,61,74,8,10,9,10,9,8,8
NECAP2,1064,938,989,1050,1127,1711,1409,1419,1639,1571
NBPF1,103,176,306,476,444,415,646,585,496,655
CROCC,7,0,18,47,103,98,53,173,66,205
MFAP2,0,0,0,0,0,0,0,1,0,0
ATP13A2,26,0,20,43,97,157,58,70,46,145
SDHB,2764,4842,3519,1577,1914,2637,2257,2142,2937,2533
PADI2,12684,8454,9184,30628,31997,23684,41001,25261,21909,19622
PADI1,0,0,0,0,0,0,0,0,1,0
PADI3,0,0,0,0,1,0,2,0,0,0
PADI4,5495,18671,10664,15699,7652,12173,13894,15856,12890,5137
PADI6,3,0,1,7,8,3,2,3,5,2
RCC2,56,152,75,92,268,152,121,109,82,238
ARHGEF10L,9,0,9,4,58,40,4,6,7,32
ACTL8,3,4,5,0,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0,0,0,0,0
KLHDC7A,0,0,0,1,4,2,5,0,0,0
PAX7,0,0,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0,0,1
ALDH4A1,8,0,0,18,23,30,16,22,19,33
IFFO2,4,0,0,20,30,38,5,4,16,46
UBR4,1556,2009,1005,4204,4074,4956,4875,5506,2993,4463
EMC1,61,53,43,57,106,115,101,67,109,152
MRTO4,39,0,20,8,18,11,9,6,5,18
AKR7L,3,0,0,1,2,0,1,1,0,0
AKR7A3,1,0,0,0,2,2,2,0,0,1
AKR7A2,17,156,44,34,64,101,52,43,48,156
CAPZB,6037,7934,5436,9530,11058,13760,15360,12961,13971,13988
HTR6,0,0,0,0,0,1,0,0,0,1
TMCO4,2,0,15,5,20,29,12,7,21,28
RNF186,0,0,0,0,0,0,0,0,0,0
OTUD3,52,89,28,73,88,122,85,59,36,127
PLA2G2E,0,0,0,0,0,0,1,0,0,0
PLA2G2A,0,0,0,0,0,0,0,0,0,0
PLA2G5,0,0,0,0,0,0,0,0,0,0
PLA2G2D,0,0,0,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,1,0,0,2,0
UBXN10,27,0,16,6,14,22,7,4,33,22
VWA5B1,0,0,0,0,0,0,0,0,0,0
CAMK2N1,12,77,0,0,1,1,1,0,3,6
MUL1,470,812,533,467,670,811,802,790,803,995
FAM43B,0,0,0,0,0,0,0,0,0,0
CDA,7470,22779,12448,6443,4347,10117,12494,10049,14789,11079
PINK1,170,356,213,1292,1399,2345,2622,2604,1473,2310
DDOST,836,822,1620,538,896,1304,871,979,672,1424
KIF17,0,0,0,1,0,1,0,1,0,0
SH2D5,3,0,0,10,7,4,1,4,3,5
HP1BP3,1868,2404,2380,3959,4271,4628,3962,4964,3329,5193
EIF4G3,827,652,823,2307,2249,1915,2138,2105,1344,1676
ECE1,1550,6312,1450,15133,16052,25031,25105,23176,23134,26673
NBPF3,33,2,26,10,10,13,167,103,15,131
ALPL,3807,11849,5098,47022,20618,39220,45916,26646,52858,41058
RAP1GAP,18,11,28,191,111,61,101,86,79,101
USP48,719,909,1028,1910,1826,2219,2064,2092,1297,2041
LDLRAD2,0,0,0,0,0,1,0,0,0,0
HSPG2,0,0,0,2,2,4,0,0,0,6
CELA3B,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,0,0,0,0
CDC42,22037,25813,31882,16762,16383,18356,19750,17382,20476,22005
WNT4,25,0,0,15,22,12,8,8,3,15
ZBTB40,14,0,14,220,315,227,239,189,97,265
EPHA8,0,0,0,0,0,1,0,0,0,0
C1QA,6,0,0,1,15,16,0,1,0,7
C1QC,0,0,0,0,6,2,0,0,0,1
C1QB,0,0,0,0,9,2,0,1,0,4
EPHB2,0,0,3,2,12,4,0,0,0,4
LACTBL1,0,0,0,0,0,0,0,0,0,0
KDM1A,45,18,50,81,132,107,71,80,65,160
LUZP1,79,3,72,72,149,125,91,74,61,114
HTR1D,0,0,0,0,0,0,0,0,0,0
HNRNPR,926,313,1060,990,1482,1574,970,1093,868,1648
ZNF436,73,13,115,199,261,242,189,292,114,311
TCEA3,0,0,0,1,3,4,4,1,0,7
ASAP3,0,0,0,0,1,3,0,0,1,1
E2F2,12,11,12,41,46,36,84,97,14,46
ID3,119,767,155,94,41,84,245,83,82,51
RPL11,967,1448,900,1954,2625,3226,2310,2320,2754,4003
PITHD1,652,344,788,416,613,768,636,554,618,830
LYPLA2,963,1903,1035,1543,1925,2503,2065,2306,2800,2447
GALE,159,171,138,113,91,140,102,123,120,111
HMGCL,310,230,404,150,185,229,202,241,201,193
FUCA1,169,278,609,139,385,501,459,373,363,275
CNR2,18,71,91,99,128,183,159,209,54,178
PNRC2,2486,1790,2768,2180,2319,3000,2494,2779,2813,3122
SRSF10,1458,859,1213,1275,1527,1450,1164,1385,1148,1763
MYOM3,0,0,0,0,0,0,0,0,0,0
IL22RA1,0,0,0,0,0,0,0,0,0,0
IFNLR1,43,43,45,24,17,25,38,15,42,23
GRHL3,10,0,0,1,3,6,2,3,2,11
STPG1,0,0,63,11,17,16,14,17,26,18
NIPAL3,88,113,435,45,104,121,113,96,59,185
RCAN3,18,0,13,33,41,48,27,22,12,47
NCMAP,0,0,0,0,0,0,0,0,0,0
SRRM1,1474,1197,1551,2161,2735,2412,2282,2445,1861,3179
CLIC4,112,176,186,316,691,255,472,151,168,531
RUNX3,246,273,318,577,1042,1435,1437,940,1093,5624
SYF2,9524,8405,11994,3968,4179,4064,4141,3844,5399,4620
RSRP1,4111,2184,3443,2456,2418,2066,2769,2424,3285,1978
RHD,111,480,208,316,251,63,660,649,763,476
TMEM50A,7622,11353,12773,6722,7171,7154,10386,8672,12608,8445
RHCE,0,65,33,33,37,1,77,57,82,53
LDLRAP1,42,48,48,64,123,106,13,20,27,100
MAN1C1,18,0,22,11,34,35,14,25,26,40
MTFR1L,483,1230,1099,428,618,719,637,578,640,922
AUNIP,12,1,14,5,14,6,13,7,11,7
PAQR7,698,522,441,78,150,182,86,211,79,225
STMN1,67,7,100,25,43,44,21,12,16,39
PAFAH2,122,409,285,247,420,537,347,459,416,506
EXTL1,0,0,0,0,0,0,0,0,0,0
SLC30A2,0,0,0,0,0,0,0,0,0,0
TRIM63,0,0,0,0,0,0,0,0,0,0
PDIK1L,4,36,51,20,24,26,19,13,9,38
FAM110D,0,0,0,0,0,0,0,0,0,0
ZNF593,11,0,13,1,4,5,5,2,6,4
CNKSR1,0,0,0,5,3,1,3,0,1,5
CATSPER4,0,0,0,0,0,0,0,0,0,0
CEP85,45,30,167,106,173,164,171,159,116,201
SH3BGRL3,35086,74909,56340,13084,20556,28158,29558,23209,32757,35460
UBXN11,252,403,475,119,536,430,281,130,253,1280
CD52,983,2879,3263,351,1161,1253,908,657,1109,1600
ZNF683,0,0,33,9,23,24,2,0,4,16
LIN28A,0,0,0,1,1,6,3,3,0,0
DHDDS,261,154,292,197,322,319,271,280,228,426
HMGN2,15564,16625,18190,7197,7135,9633,8259,6958,11355,11216
RPS6KA1,7569,10025,6525,14448,14116,19804,17664,20448,16651,18027
ARID1A,4532,3914,3048,7658,9462,8794,9052,8951,6363,9871
PIGV,170,46,409,106,246,257,217,302,286,265
ZDHHC18,9775,12718,4592,46869,43946,53619,48984,47731,48827,46328
SFN,92,109,31,486,524,305,473,179,408,361
GPN2,138,0,129,150,160,226,141,207,123,255
GPATCH3,190,288,210,246,254,339,260,399,221,337
NR0B2,4,0,0,0,0,0,0,0,0,1
NUDC,1331,947,1482,679,803,956,958,972,911,1362
KDF1,0,0,1,1,3,2,3,0,3,6
TRNP1,5,0,0,3,1,3,2,1,0,1
SLC9A1,535,331,294,2663,2941,3782,4100,4718,3077,3315
WDTC1,877,1268,558,6545,7990,9636,11494,8974,7962,10736
TMEM222,1453,2002,1383,861,1106,1626,1327,1638,2023,1737
SYTL1,697,2110,794,3003,2664,3995,4566,4237,5483,4252
MAP3K6,61,84,42,127,197,118,154,210,165,199
FCN3,0,0,0,0,0,0,0,0,0,0
CD164L2,2,0,0,2,0,3,1,6,1,1
GPR3,31,35,77,63,92,61,96,16,57,43
WASF2,4947,6622,4881,6511,7858,12923,12431,12276,8350,15445
AHDC1,19,4,12,91,118,154,112,155,90,243
FGR,9597,21824,10515,33888,45314,41891,45331,49225,60431,68036
IFI6,42179,6418,16898,5387,2921,1531,4287,1851,5344,2638
FAM76A,1156,362,827,133,161,167,99,148,143,239
STX12,828,559,594,1320,1573,1380,1422,1388,1273,1594
PPP1R8,168,187,132,490,556,667,616,651,505,896
THEMIS2,11954,12460,10557,21160,17930,27784,22779,23411,22550,31380
RPA2,3143,1883,3408,1695,1449,2269,1692,1618,1664,1860
SMPDL3B,144,100,98,137,173,187,132,162,210,448
XKR8,3127,5615,3554,5311,6157,10106,9647,7554,8794,11942
EYA3,2154,1390,1430,959,956,929,751,1025,785,1154
PTAFR,32131,25772,34099,29387,35151,50346,41112,40527,43369,54964
DNAJC8,1280,1544,1909,947,1154,1079,1206,1202,1148,1620
SESN2,612,545,252,792,1162,1195,1917,1073,871,2094
MED18,136,74,137,307,385,444,385,507,559,482
PHACTR4,142,84,130,215,295,306,325,284,374,620
RCC1,40,0,59,70,107,77,76,73,72,77
TRNAU1AP,259,159,216,112,172,225,207,165,200,235
RAB42,0,0,0,11,16,7,3,22,5,8
TAF12,3192,3118,4126,1486,1814,1921,1772,1723,2105,2072
GMEB1,124,170,245,332,402,433,387,383,272,488
YTHDF2,635,1034,1287,660,1039,1137,1113,1015,778,1493
OPRD1,0,0,0,0,0,0,0,0,0,0
EPB41,1170,1267,1075,5845,6424,8177,6634,10557,4178,8270
TMEM200B,0,0,0,1,0,1,1,1,1,1
SRSF4,1873,2769,1687,2825,3005,3347,3617,3579,3021,3798
MECR,11,0,14,1,4,5,0,0,0,7
PTPRU,0,0,0,0,2,0,0,0,2,2
MATN1,0,0,0,8,16,9,7,8,19,7
LAPTM5,67781,94824,79231,78306,108545,123436,134035,130419,150452,158251
SDC3,0,0,0,0,17,6,0,0,1,4
PUM1,1093,1409,804,1460,1808,2355,2103,2167,1341,2399
NKAIN1,0,0,0,0,0,0,0,0,0,0
SNRNP40,321,159,476,109,173,166,127,131,140,235
ZCCHC17,440,544,462,132,207,221,147,171,173,313
FABP3,0,0,0,5,2,4,3,6,0,4
SERINC2,6,0,2,39,79,83,22,5,162,135
TINAGL1,0,0,0,0,0,0,0,0,0,0
HCRTR1,6,0,0,11,7,3,7,4,1,4
PEF1,1622,1760,1500,977,915,1185,1125,1296,1312,1512
COL16A1,3,0,0,1,1,0,1,2,1,2
ADGRB2,0,0,0,0,2,1,0,0,0,0
SPOCD1,10,0,4,14,26,0,3,0,5,1
PTP4A2,6679,4401,4061,7634,10499,10689,11614,9154,9878,15181
KHDRBS1,1292,1044,1051,2582,2948,3391,3254,3456,2558,4303
TMEM39B,105,66,78,131,175,280,190,263,203,304
KPNA6,1153,988,1323,768,968,1286,1109,1037,917,1401
TXLNA,318,356,350,256,395,376,322,367,239,428
CCDC28B,32,0,37,67,66,60,38,46,37,55
IQCC,3,9,2,36,26,27,18,25,12,22
DCDC2B,141,270,172,107,116,83,78,137,126,135
TMEM234,793,1037,1086,325,307,349,367,383,362,455
EIF3I,630,532,844,367,367,496,420,257,312,492
FAM167B,0,0,4,0,0,1,2,0,2,1
LCK,312,102,146,64,70,151,19,13,23,125
HDAC1,1431,2202,2426,1641,2020,2366,2064,2246,1969,2776
MARCKSL1,444,2573,1496,1748,3954,4168,3712,4308,5284,6311
FAM229A,9,39,30,115,140,178,136,131,270,206
TSSK3,12,16,36,276,418,377,281,308,346,397
BSDC1,1143,1092,917,1407,1796,2012,1638,1804,1253,2033
ZBTB8B,1,0,0,0,0,0,0,0,0,0
ZBTB8A,45,16,20,24,10,18,16,14,24,17
ZBTB8OS,1234,680,1290,379,390,415,424,359,504,491
RBBP4,448,751,828,450,610,753,530,597,377,852
SYNC,0,0,0,0,0,0,0,0,0,0
KIAA1522,19,0,1,5,17,7,1,4,0,4
S100PBP,321,264,390,659,637,765,688,380,420,398
FNDC5,0,0,0,18,7,8,8,3,3,9
HPCA,0,0,0,1,1,0,0,0,1,0
TMEM54,8,0,0,13,14,4,2,6,36,7
RNF19B,4446,4182,2178,9721,10643,13936,13015,11630,11621,13696
AK2,675,1384,876,664,772,1067,982,821,865,1236
AZIN2,0,0,4,7,13,14,6,4,2,3
TRIM62,76,319,73,407,465,775,560,592,454,758
ZNF362,154,370,162,447,542,895,704,729,634,1658
A3GALT2,6,21,3,99,131,95,137,68,88,63
PHC2,8754,19354,5788,33434,24016,33141,36601,34704,42767,33552
ZSCAN20,0,0,0,2,4,2,2,0,2,5
CSMD2,0,0,0,0,0,0,0,0,0,0
HMGB4,0,0,0,0,0,0,0,0,0,0
C1orf94,0,0,0,0,0,0,0,0,0,0
GJB5,7,0,0,2,2,9,7,9,5,2
GJB4,0,0,0,0,0,1,0,2,0,0
GJB3,0,0,0,1,0,0,0,0,0,2
GJA4,0,0,0,1,5,2,2,0,0,5
SMIM12,769,1218,1386,586,768,967,821,772,703,900
DLGAP3,0,0,1,1,5,5,0,0,1,2
ZMYM6,281,44,237,529,730,614,556,555,374,655
ZMYM1,59,18,37,52,69,76,65,65,42,80
SFPQ,450,332,330,1714,1643,1862,1544,1503,946,1813
ZMYM4,84,44,141,61,163,142,143,132,54,160
KIAA0319L,5048,5169,4194,3272,4568,5711,5851,5362,6006,7001
NCDN,9,2,17,24,45,68,43,39,41,57
TFAP2E,7,3,11,14,28,19,18,15,11,27
PSMB2,421,724,719,430,703,700,561,722,754,951
C1orf216,2,0,0,11,13,11,5,7,7,11
CLSPN,86,0,62,34,29,69,50,52,62,58
AGO4,5384,5239,3913,15887,14739,17727,16427,17771,12392,15293
AGO1,648,645,486,1209,1118,1707,1491,1844,804,1941
AGO3,334,150,216,368,333,409,290,381,223,346
TEKT2,5,0,8,6,7,10,13,15,13,9
COL8A2,4,0,0,16,16,15,15,16,1,21
TRAPPC3,2661,3833,3690,824,807,1178,1025,1103,1242,1201
MAP7D1,3511,4983,1551,8970,11520,13295,13435,16813,11868,15425
THRAP3,9550,8318,12063,6193,7012,6762,6904,8022,4813,7137
SH3D21,84,336,41,403,590,332,256,458,405,445
EVA1B,72,146,38,337,648,646,307,577,1413,979
STK40,3870,3006,1753,18698,22882,28720,25213,27615,24798,33900
LSM10,2509,3821,2949,1187,1120,1849,1678,1389,2491,1860
OSCP1,12,0,12,25,19,19,22,21,26,41
MRPS15,115,116,100,310,283,216,223,232,253,251
CSF3R,92752,89520,48699,322760,313329,410402,328779,423042,341846,398509
GRIK3,0,0,0,0,0,0,0,0,0,0
ZC3H12A,675,492,333,1952,2078,1929,1958,1560,2132,1912
MEAF6,553,773,1474,389,443,617,601,530,461,926
SNIP1,672,436,438,691,691,723,613,685,546,967
DNALI1,0,0,0,1,0,0,1,0,0,0
GNL2,65,0,109,112,201,188,124,126,108,250
RSPO1,0,0,0,0,0,0,0,0,0,0
C1orf109,18,0,20,8,17,14,11,15,9,12
CDCA8,89,240,83,74,97,135,97,132,62,114
EPHA10,5,8,2,0,0,1,0,0,0,0
MANEAL,65,68,71,83,45,65,74,72,96,50
YRDC,144,47,87,229,291,369,359,221,374,361
C1orf122,115,65,187,190,177,324,250,290,373,331
MTF1,1295,903,683,2310,2561,2719,3375,2556,2111,2494
INPP5B,796,845,809,348,1047,1017,842,689,681,1021
SF3A3,595,1080,517,646,1325,1241,2092,849,1092,1914
FHL3,450,1539,859,1144,2022,4587,6679,4521,3739,5941
POU3F1,0,0,0,0,1,1,2,0,1,1
RRAGC,1083,1955,784,1700,1913,2232,2070,1996,2702,1980
MYCBP,1,0,0,2,0,0,0,1,0,1
GJA9,0,0,0,0,0,0,0,0,0,0
RHBDL2,1,0,1,1,2,0,2,1,3,0
AKIRIN1,2354,1929,2366,5732,5383,6273,5699,5564,5824,6920
NDUFS5,381,477,281,88,75,126,130,87,86,131
MACF1,369,919,419,1497,2132,1838,3171,1521,1083,3068
BMP8A,2,0,0,6,10,8,8,4,5,16
PABPC4,67,102,79,127,236,285,190,174,147,397
HEYL,0,0,0,0,1,0,0,0,0,0
