Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
C9orf72,10123,5347,12363,5165,7731,3308,4265,4103,2648,3721
LINGO2,0,0,0,1,0,0,0,2,0,1
ACO1,403,92,154,402,324,126,158,323,199,159
TOPORS,3763,2935,4587,6099,7135,6827,6333,7108,5428,6701
NDUFB6,6380,7344,9692,865,605,988,888,673,1630,742
TAF1L,0,0,0,0,1,0,0,1,0,0
TMEM215,0,0,0,0,0,0,0,0,0,0
APTX,416,104,429,83,113,108,122,91,83,156
DNAJA1,4263,3411,4375,5625,6496,5147,5665,4762,5321,5479
SMU1,1980,1415,1783,1230,1278,1425,1367,1233,1653,1486
B4GALT1,26350,28825,31490,6720,7644,7061,7603,8552,8747,9310
SPINK4,28,0,16,10,8,9,17,4,11,11
BAG1,1145,1035,1370,942,1041,1030,1189,957,932,1246
CHMP5,7087,2832,6364,2986,3118,1978,2041,2007,3097,1958
NFX1,255,261,183,402,401,368,337,394,300,606
AQP7,0,0,0,0,0,0,0,0,0,0
AQP3,51,0,0,16,19,31,6,4,6,44
NOL6,20,18,7,35,78,105,72,39,26,99
ANKRD18B,0,0,0,0,0,1,0,0,1,0
PRSS3,0,0,23,0,3,3,0,0,2,0
UBE2R2,4792,5836,2797,13258,15738,15636,17969,15684,18730,17388
UBAP2,83,47,202,186,253,298,312,244,286,397
DCAF12,578,1346,874,2135,2233,2530,2090,2817,2413,2134
UBAP1,3662,4419,3764,6997,6235,6918,7427,6805,6976,6360
KIF24,24,0,2,30,40,28,29,32,21,16
NUDT2,72,100,32,91,117,87,44,89,104,78
C9orf24,11,0,5,1,6,2,2,4,2,3
FAM219A,121,159,42,861,1249,1062,1062,1046,772,1136
DNAI1,0,0,0,0,0,0,0,0,0,0
ENHO,0,0,0,0,1,1,1,0,1,1
CNTFR,0,0,0,2,0,0,0,0,0,0
RPP25L,477,655,478,131,145,230,189,226,358,196
DCTN3,1395,2042,1785,571,464,889,776,698,1047,869
ARID3C,0,0,0,0,1,0,0,0,0,0
SIGMAR1,224,415,281,168,247,353,312,298,361,501
GALT,223,423,337,138,166,223,170,171,163,218
IL11RA,31,174,6,78,114,96,62,82,91,120
CCL27,0,0,0,0,0,0,0,0,1,2
CCL19,0,0,15,0,0,1,2,1,1,0
CCL21,0,0,0,0,0,0,0,0,0,0
FAM205A,0,0,0,0,0,0,0,0,0,0
FAM205C,0,0,0,0,0,0,0,0,0,0
PHF24,68,190,80,142,114,283,127,278,245,414
DNAJB5,43,89,240,215,406,486,81,345,609,1047
C9orf131,46,0,0,36,29,15,9,15,8,15
VCP,3051,4537,2911,3938,4016,5307,5307,5310,3998,5998
FANCG,64,0,42,67,74,86,42,71,100,121
PIGO,25,59,84,76,86,142,93,107,56,169
STOML2,184,154,284,184,201,223,179,142,197,239
UNC13B,0,0,0,16,26,16,22,8,13,29
RUSC2,9,0,0,16,46,28,10,9,7,15
FAM166B,0,0,0,1,1,5,0,0,4,2
TESK1,44,23,30,210,328,422,281,253,297,601
CD72,17,0,36,5,8,2,4,5,2,5
SIT1,15,0,3,9,15,23,3,1,3,17
CCDC107,4,0,10,2,8,18,2,11,16,19
ARHGEF39,0,0,0,4,8,0,1,2,2,4
CA9,0,0,0,0,1,0,0,0,1,0
TPM2,69,10,4,81,80,44,34,28,53,48
TLN1,9752,15802,6725,39981,47434,52529,52799,55586,34574,46060
CREB3,487,448,606,298,415,430,374,291,306,499
GBA2,1016,1303,532,2521,2792,3229,2429,2938,2688,3607
RGP1,42,2,21,154,188,255,228,221,59,254
MSMP,29,52,3,103,124,119,109,134,35,126
NPR2,2,0,4,0,4,3,4,2,5,2
SPAG8,11,0,0,2,2,2,0,0,2,3
HINT2,14,85,68,5,7,11,3,4,5,14
FAM221B,0,0,0,0,0,0,0,0,0,0
TMEM8B,3,0,33,17,15,12,9,21,10,24
OR13J1,0,0,0,0,0,0,0,0,0,0
HRCT1,0,0,0,0,0,0,0,0,0,0
OR2S2,0,0,0,0,0,0,0,0,0,0
RECK,26,0,47,11,19,22,7,7,5,22
GLIPR2,12755,23773,20008,10715,12066,15048,15849,15324,17295,11663
CCIN,9,3,23,11,20,17,24,17,6,27
CLTA,552,1034,589,715,780,968,750,983,1067,1106
GNE,31,40,37,288,219,213,184,199,151,279
RNF38,961,880,925,2547,3013,3054,2890,2742,2252,3391
MELK,3,1,4,0,3,0,0,0,1,2
PAX5,8,0,0,17,33,29,7,2,1,13
ZCCHC7,812,595,1219,588,753,696,766,702,703,797
GRHPR,147,321,490,175,148,199,259,151,374,459
ZBTB5,16,0,3,49,73,43,39,35,22,94
POLR1E,2,0,0,11,13,11,3,2,2,13
FBXO10,0,0,0,7,7,6,1,1,3,7
TOMM5,105,100,216,26,21,36,18,24,23,39
FRMPD1,0,0,0,0,0,0,0,1,0,0
TRMT10B,66,24,69,61,49,74,63,90,76,98
EXOSC3,289,261,364,163,131,189,184,205,228,171
DCAF10,492,745,493,884,686,921,988,951,833,807
SLC25A51,47,7,44,139,80,114,104,104,80,139
SHB,0,0,0,16,13,12,39,17,16,34
ALDH1B1,0,4,21,4,3,8,0,2,0,4
IGFBPL1,0,0,0,0,0,0,0,0,0,0
CNTNAP3,705,1059,1059,3948,1971,3330,2377,2008,2499,4444
SPATA31A1,0,0,0,2,2,15,0,3,3,26
FOXD4L6,1,0,0,6,14,6,7,3,6,1
CNTNAP3B,194,338,256,1133,611,692,604,441,766,1071
SPATA31A6,0,0,0,4,1,3,2,0,4,2
SPATA31A5,0,0,0,0,0,0,0,0,0,0
SPATA31A7,0,0,0,0,0,0,0,0,0,0
FOXD4L5,0,0,0,6,12,1,6,5,9,3
FOXD4L4,0,0,0,0,0,0,1,0,0,0
ANKRD20A1,0,0,0,0,0,0,0,0,0,0
ZNF658,9,10,28,51,30,32,35,30,17,54
SPATA31A3,0,0,0,0,0,0,0,0,0,0
FOXD4L3,0,0,0,0,0,0,0,0,0,0
PGM5,345,121,134,189,60,431,36,55,81,396
TMEM252,142,50,92,85,73,79,46,73,91,76
PIP5K1B,247,320,241,337,300,405,469,307,396,598
PRKACG,4,0,0,0,1,0,0,0,0,1
FXN,7,48,14,9,16,20,7,2,10,17
TJP2,86,60,86,679,460,372,647,151,258,144
APBA1,0,0,1,0,1,0,0,0,1,2
PTAR1,966,1122,531,2612,2372,1850,1749,2499,1471,2331
MAMDC2,0,0,0,0,0,0,0,0,0,0
SMC5,158,92,220,540,736,754,620,602,342,984
KLF9,51,60,49,63,111,102,71,32,29,147
TRPM3,0,0,0,0,0,1,0,0,0,0
ABHD17B,136,62,211,271,334,344,330,347,363,513
C9orf85,172,15,111,47,42,31,37,61,44,76
C9orf57,0,0,0,0,2,1,0,0,0,0
GDA,0,0,0,0,2,0,0,0,0,0
ZFAND5,4964,7348,4665,7139,7217,7877,7889,7864,7272,7005
TMC1,0,0,0,0,0,0,0,0,0,0
ALDH1A1,13,2,98,25,143,57,17,21,19,43
ANXA1,4556,9590,35960,2859,6421,3261,3205,3687,5554,5790
RORB,0,0,0,0,2,0,0,0,1,0
TRPM6,3440,1729,3812,3838,2244,2103,2701,2914,1218,1950
C9orf40,48,192,49,160,141,151,141,213,147,148
CARNMT1,7,49,11,21,28,20,8,25,11,25
NMRK1,498,981,356,426,515,399,344,270,343,234
OSTF1,9449,11958,8900,6614,6248,7389,7016,6485,7202,7067
PCSK5,29,61,27,8,193,81,0,34,3,74
RFK,67,22,59,73,116,73,72,89,79,134
GCNT1,32,100,238,181,235,359,287,303,253,199
PRUNE2,63,144,27,263,61,47,328,25,197,8
FOXB2,0,0,0,0,0,0,0,0,0,0
VPS13A,55,186,139,182,211,183,232,161,95,264
GNA14,11,0,1,1,2,2,2,1,4,1
GNAQ,5598,3960,4705,10201,14318,13668,15000,11368,13072,14225
CEP78,8,37,2,15,24,25,12,14,7,19
PSAT1,5,0,23,1,5,2,0,2,6,7
TLE4,3756,4221,2727,7323,5857,6740,6704,6762,4938,5312
TLE1,4,124,24,51,72,93,93,108,96,138
SPATA31D4,0,0,0,0,0,0,0,0,0,0
SPATA31D3,0,0,0,0,0,0,0,0,0,0
SPATA31D1,0,0,0,0,0,0,0,0,0,0
RASEF,0,0,0,0,0,0,0,0,0,1
FRMD3,263,17,135,131,492,81,85,124,190,50
IDNK,62,11,98,23,22,30,25,18,25,35
UBQLN1,2321,2438,2571,2439,2752,2810,2668,2860,1864,2915
GKAP1,73,82,63,167,171,158,154,126,200,313
KIF27,594,283,539,861,857,1049,695,1004,676,1137
C9orf64,121,29,127,95,152,185,136,191,154,163
HNRNPK,8350,10516,9404,25938,25544,28169,27107,26091,24769,28897
RMI1,355,147,768,546,655,799,503,643,687,550
SLC28A3,0,0,0,9,21,9,1,1,2,6
NTRK2,0,0,0,0,0,0,0,0,0,1
AGTPBP1,2989,2806,2545,9066,7105,8178,9419,7669,6018,7332
NAA35,79,64,47,64,105,79,65,70,50,99
GOLM1,21,0,61,55,100,69,51,58,38,83
C9orf153,0,0,4,1,1,1,1,2,3,0
ISCA1,380,494,517,476,568,483,439,433,488,712
GAS1,0,0,0,0,1,1,0,0,0,0
DAPK1,345,603,396,920,1641,1779,790,2277,1745,1909
CTSL,32,1,0,2,26,7,1,0,2,6
SPATA31E1,0,0,0,0,0,0,0,0,0,0
SPATA31C1,0,0,0,0,0,0,0,0,0,0
CDK20,0,0,0,10,10,13,7,7,17,19
SPATA31C2,0,0,0,0,0,0,0,0,0,0
SPIN1,61,1,64,108,176,226,169,167,100,266
NXNL2,2,36,0,3,3,3,4,6,7,7
S1PR3,1,0,0,15,39,39,5,3,4,8
SHC3,0,0,0,1,0,0,0,0,0,0
CKS2,267,407,242,38,46,72,53,42,67,58
SECISBP2,1362,795,803,1791,2519,1957,1905,2203,1636,2030
SEMA4D,12177,10996,5777,23519,25739,26405,23100,24318,20234,21762
GADD45G,15,32,58,205,167,159,296,191,483,147
DIRAS2,0,0,0,2,0,2,3,0,0,4
SYK,8424,9940,7454,11995,11529,15386,15749,16737,14596,18501
AUH,213,334,402,233,170,236,233,181,168,259
NFIL3,5397,5927,4118,10940,7334,7799,10097,6165,7879,6715
ROR2,0,0,0,0,0,0,1,0,0,0
SPTLC1,1317,1504,1490,1614,1931,1759,1570,1656,1514,1866
NOL8,175,127,184,365,436,329,265,353,217,399
CENPP,2,1,3,6,2,2,6,4,7,11
OGN,0,0,0,0,1,0,0,0,1,0
OMD,0,0,0,0,0,0,0,0,0,0
ASPN,0,0,0,0,0,0,1,0,0,0
ECM2,0,0,0,0,0,0,1,0,1,0
IPPK,118,2,130,150,168,171,141,154,90,203
BICD2,1325,1254,1065,4150,3895,5829,5652,6208,3893,5204
ZNF484,65,0,70,101,138,45,83,79,91,134
FGD3,10631,19193,6427,21212,17641,23528,26193,22938,22769,22524
SUSD3,112,317,146,73,64,111,140,104,101,246
NINJ1,15798,25306,15197,10924,13656,24870,21893,23645,37070,34323
WNK2,33,5,12,49,29,69,50,83,70,153
FAM120AOS,851,605,977,852,1049,1168,1101,1160,1163,1363
FAM120A,5067,3564,2287,11063,11889,12057,12173,12665,9604,11463
PHF2,727,300,402,3313,2995,3401,3030,3681,2154,4125
BARX1,0,0,0,0,0,0,0,0,0,0
PTPDC1,0,0,0,2,4,7,3,1,1,6
ZNF169,18,0,88,54,69,70,53,94,30,84
NUTM2F,1,0,0,5,2,4,3,5,6,8
FBP2,0,0,0,0,0,0,0,0,0,2
FBP1,92,891,517,188,322,497,485,485,412,637
FANCC,2,0,6,5,7,8,4,4,2,5
PTCH1,8,0,0,10,16,18,6,0,0,12
ERCC6L2,295,172,94,433,312,418,386,312,285,439
HSD17B3,0,0,3,1,4,1,1,0,0,4
SLC35D2,41,161,37,60,110,101,103,65,75,127
ZNF367,13,0,0,5,16,10,2,2,4,9
HABP4,0,0,17,6,6,7,4,7,5,14
CDC14B,33,2,42,99,118,96,103,90,82,131
ZNF510,27,0,14,58,51,73,60,51,25,79
ZNF782,15,2,25,53,48,30,32,52,22,45
NUTM2G,15,0,0,23,13,21,28,21,14,16
CTSV,1,1,4,0,0,4,0,4,1,2
CCDC180,0,0,0,0,0,0,0,0,0,0
TDRD7,1342,297,1077,1619,1493,1112,1524,1140,1115,1190
TMOD1,0,0,0,1,5,4,1,1,4,4
TSTD2,33,0,12,22,42,34,24,41,9,52
NCBP1,127,84,199,127,181,150,138,195,124,228
XPA,76,166,88,35,46,47,51,43,39,74
FOXE1,0,0,0,2,2,0,3,2,3,5
HEMGN,4,0,0,13,41,10,1,0,2,3
ANP32B,422,956,486,750,923,930,1038,903,805,1760
NANS,1422,1497,1167,504,521,529,566,627,569,531
TRIM14,606,185,228,557,439,331,452,345,226,242
CORO2A,126,24,199,317,316,511,600,420,463,414
TBC1D2,266,253,146,649,597,991,918,1136,963,792
GABBR2,1,0,0,0,0,0,0,0,0,0
ANKS6,0,0,0,5,8,11,2,4,2,5
GALNT12,1,0,10,16,14,30,30,35,23,48
COL15A1,0,0,1,0,2,1,5,5,0,1
TGFBR1,1381,1853,2141,3164,3608,5161,3631,4010,3377,3097
ALG2,152,40,159,119,146,197,160,175,180,255
SEC61B,1531,2591,2341,569,580,749,702,608,993,804
NR4A3,31,33,33,32,43,18,24,1,7,50
STX17,452,79,219,484,704,554,446,461,405,509
ERP44,4208,3246,5140,3244,3988,3724,4005,3602,4383,4310
INVS,17,0,26,68,70,72,54,64,44,81
TEX10,76,1,14,47,47,46,35,41,25,71
MSANTD3,10,0,25,7,21,6,7,10,14,19
TMEFF1,0,0,0,0,0,0,0,0,0,0
BAAT,0,0,0,0,1,0,2,0,0,1
MRPL50,152,115,207,20,46,40,28,26,28,73
ZNF189,181,92,133,279,336,257,275,298,173,463
ALDOB,0,0,6,4,5,3,8,7,6,9
RNF20,663,574,707,1187,1389,1326,1464,1566,1060,1569
GRIN3A,65,59,10,36,80,44,49,55,41,53
PPP3R2,0,0,0,3,0,4,5,2,1,3
CYLC2,0,0,0,0,0,0,0,0,0,0
SMC2,8,2,16,11,39,16,16,13,14,22
OR13F1,0,0,0,0,0,0,0,0,0,0
OR13C4,0,0,0,0,0,0,0,0,0,0
OR13C3,0,0,0,0,0,0,0,0,0,0
OR13C8,0,0,0,0,0,0,0,0,0,0
OR13C5,0,0,0,0,0,0,0,0,0,0
OR13C2,0,0,0,0,0,0,0,0,0,0
OR13C9,0,0,0,0,0,0,0,0,0,0
OR13D1,0,0,0,0,0,0,0,0,0,0
NIPSNAP3A,100,171,205,48,108,89,79,66,63,121
NIPSNAP3B,5,25,55,21,22,18,29,12,23,25
ABCA1,7249,6805,8305,2991,2377,4072,6302,2494,3029,3256
SLC44A1,255,432,367,430,417,350,345,506,339,576
FSD1L,0,0,1,9,13,9,1,7,4,8
FKTN,3,0,10,5,14,8,6,5,3,15
TAL2,0,0,0,0,0,0,1,0,0,0
TMEM38B,35,8,141,25,47,40,42,28,27,51
ZNF462,0,0,0,0,0,1,0,0,0,0
RAD23B,718,1114,512,5146,3956,4602,6396,4875,4616,4621
KLF4,266,150,293,1003,3444,744,917,254,571,531
ACTL7B,0,0,0,0,0,0,0,0,1,0
ACTL7A,1,0,0,0,0,0,0,0,1,0
CTNNAL1,49,6,75,20,57,83,19,64,16,47
TMEM245,130,10,159,57,117,136,92,96,65,217
FRRS1L,0,0,0,0,0,0,0,0,0,0
EPB41L4B,0,1,0,0,0,0,0,0,0,0
PTPN3,1,1,7,0,0,2,0,0,0,0
C9orf152,0,14,8,16,10,0,23,20,20,3
