"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDZK1IP1",303.285785037685,1.46800347756004,0.332764932805977,4.41153298570671,1.02641313540327e-05,0.181726445623149
"RAB7B",18.8350951825014,-1.79577306390726,0.464065359950609,-3.86965548150025,0.000108989257172259,0.473934696233738
"SPATA45",1.46297893935666,1.77752327239227,0.511375151670551,3.47596723576711,0.0005090144683389,0.473934696233738
"TRIM58",777.411350586146,0.759598087775122,0.205114634745325,3.70328567105051,0.000212824994265284,0.473934696233738
"LGALSL",120.475243630929,0.774326659587968,0.220680367528543,3.50881534347551,0.000450107292439859,0.473934696233738
"MEIS1",139.365170685671,0.838705586532725,0.248815347587412,3.37079522893208,0.000749515475546155,0.473934696233738
"OSBPL6",8.56152698778281,1.35071404311768,0.398414835349099,3.39022025104603,0.000698364906865584,0.473934696233738
"THRB",57.7637647234137,0.989187808611479,0.288166273492116,3.43269806221283,0.000597607212153004,0.473934696233738
"CHRNA9",3.00139821451469,-1.73064482763751,0.509175921705889,-3.39891333007136,0.000676541515186276,0.473934696233738
"CXCL5",254.730245923942,0.959300647098408,0.277986360802186,3.45089105929568,0.00055873905468061,0.473934696233738
"FSTL4",20.4757833988195,1.18963293553174,0.348558565054079,3.41300732445686,0.000642502153126508,0.473934696233738
"ABLIM3",233.165684566538,0.804119065953541,0.235162842820914,3.41941378283945,0.000627562163215913,0.473934696233738
"ADRA2A",27.2727218736288,1.10326256791174,0.29224089638117,3.77518198709859,0.000159890889117511,0.473934696233738
"HBB",5017.90443779419,1.61176877679798,0.44555156457962,3.61746856016249,0.00029749845414102,0.473934696233738
"SPX",62.1863028549458,0.927094571010232,0.267788238469682,3.46204365176103,0.000536090198560547,0.473934696233738
"GYS2",41.1657526209441,1.02563193684103,0.287943568232254,3.56191993847129,0.000368152662360066,0.473934696233738
"CMTM5",287.567945317873,0.836926199345785,0.245290714091291,3.41197669241691,0.000644936274328503,0.473934696233738
"HBA1",4835.03568972641,1.77614932865815,0.516136351514748,3.44124052383743,0.000579053552508048,0.473934696233738
"KIFC3",341.201166487483,0.47919865274694,0.140002830789611,3.42277831129754,0.000619846073553158,0.473934696233738
"SLC4A1",34.1166415435709,2.08615319672397,0.614302362547592,3.39597130649542,0.000683855280348102,0.473934696233738
"ICAM5",33.2735895829566,0.666047388872983,0.197180337643171,3.37785905447783,0.000730525135016908,0.473934696233738
"THBD",328.420315933127,1.18024993960208,0.34960333249964,3.37596879058154,0.000735562625822677,0.473934696233738
"TUBA8",527.017463648136,0.830846885641787,0.236325714993375,3.51568548376158,0.000438620254526373,0.473934696233738
"GP1BB",1103.83588452127,0.898057748421089,0.264385762202604,3.39677046501805,0.000681861364120785,0.473934696233738
"GRAP2",2399.92295441038,0.432505363480028,0.121413280126958,3.56225746498052,0.000367679532415288,0.473934696233738
"BEND2",134.551839345404,0.858052350347916,0.249377111789931,3.44078229228477,0.000580035029818102,0.473934696233738
"ALAS2",81.4645317391543,1.96096510837459,0.515206789654728,3.80617093514772,0.000141134857312808,0.473934696233738
"APLN",2.17395666895441,2.88780927391185,0.856150374366604,3.37301642371914,0.000743495176998455,0.473934696233738
"ZNF385D",28.2897617895726,0.977361984176024,0.29277038904375,3.33832252424262,0.000842858542457245,0.484420943420885
