Gene
TBXT
TLCD3A
ZNG1C
LOC107986982
SPDYE11
ERV3-1-ZNF117
ACTL10
CFAP157
NPIPB13
H3-3B
MARCHF10
SCAND3
RFLNA
SLURP2
PERCC1
COQ8A
LOC112267992
MARCHF5
RAB5IF
RTF2
NCBP2L
SKIC8
LOC107985915
NPIPB2
BORCS6
STIMATE-MUSTN1
FNDC10
PNMA6F
LOC105379545
MELTF
OR6J1
PNMA6E
BABAM2
DYNLT4
NAXE
H4C16
LOC105379504
LHFPL7
CSNKA2IP
PWWP3B
MICOS10
DIPK2B
LOC100129098
CYP2D7
TEX13D
GET3
GOLGA6L26
C3orf85
STING1
MTRES1
C2CD6
IHO1
HDGFL2
LTO1
UPK3BL1
TOGARAM2
SMIM32
SELENOK
EFCAB8
GAREM2
ND1
GRK2
BLTP3B
H3Y1
MIGA2
FAM241A
H2BC15
ESS2
H3C1
SKIC3
LOC107986768
CASTOR1
PRAMEF13
LOC102723564
LOC105370706
SEPTIN12
LOC107987067
MISFA
ARMH4
LOC114841035
GOLM2
CBLIF
LOC100996701
CAVIN2
MCRIP1
ATP5ME
LOC100507221
ENTREP2
CENPVL2
LOC112267855
RO60
ADPRS
DNAAF8
UTP11
RCC1L
AQP7B
MDFIC2
DHFR2
PRUNE1
STN1
CFAP119
OR2AJ1
LOC729966
LOC102723971
SPACA9
NOTCH2NLR
GMCL2
GARIN1B
MAB21L4
XAGE1A
NPBWR1
PTTG1IP2
AOPEP
NECTIN3
LOC102723750
DYNC2I1
MARCHF6
LOC112268016
C17orf113
LOC102724560
B3GALT9
PLPPR2
CCN6
LINC02798
FAM90A7
LOC101060341
ACP3
CARS1
RUSF1
SMIM31
DENND10
ODAD4
FREY1
DNAAF10
CRPPA
RIGI
WDCP
CCNQ
POLR1G
CCDC188
LOC112268067
LOC107985149
RUBCNL
RTL5
CHD9NB
GARIN3
FAM236D
VPS26C
ATP8
PGAP4
GARRE1
CERT1
LOC107987372
SEPTIN5
PANO1
LOC112267897
NOPCHAP1
H4C3
H2BC5
PATJ
ATP5F1D
TENT4B
